Phy,Presence,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Present
Abarema_jupumba,1,tree,Surinam,petioles,,Keeler unpub.From herbarium specimen,1
Abarema_lucida,1,,Asia,petioles,,Keeler unpub.From herbarium specimen,1
Abarema_scutifera,1,shrub,,petioles,,Keeler unpub. From herbarium specimen,1
Abarema_turgida,1,shrub,,petioles,,Keeler unpub.From herbarium specimen,1
Acacia_abyssinica,1,tree,Malaysia,petiole,,"Keeler, unpub.",1
Acacia_acanthoclada,1,shrub,South Australia,petiole (phyllode),,"Keeler, unpub.",1
Acacia_acradenia,1,,Australia,base of phyllode,,Keeler unpub from herbarium specimen,1
Acacia_acuifera,1,shrub,"Bahamas, San Salvador","petiole, rachis",,Keeler unpub.; Miller 2008,1
Acacia_aculeatissima,1,shrub,Australia,base of phyllode,,"Keeler, unpub.",1
Acacia_acuminata var. burkittii,1,shrub,Australia,base of phyllode,,Keeler unpub from herbarium specimen,1
Acacia_adhaerens,1,vine,Brazil,"many, along rachis",,"Keeler, unpub.",1
Acacia_adunca,1,shrub,Australia,along back of phyllode,,"Keeler, unpub.",1
Acacia_allenii,1,tree,Central America,petiole,,Janzen 1974; Mille 2008,1
Acacia_amazonica,1,,Brazil,"many, along rachis",,,1
Acacia_amblygona,1,,,petiole,,Boughton 1981,1
Acacia_amentacea,1,shrub,Mexico,petiole,,"Keeler, unpub.",1
Acacia_amoena,1,shrub,Australia,along blade of phyllode,,"Keeler, unpub.",1
Acacia_anegadensis,1,tree,"Anegada, British Virgin Islands","petiole,",,Miller 2008,1
Acacia_aneura,1,,,petiole,,Boughton 1981,1
Acacia_angustissima,1,tree,Mexico,petiole,,"Keeler, unpub.",1
Acacia_asparagoides,1,shrub,Australia,base of phyllode,,Zimmermann 1932; Ross and Gordon-Gray 1966b; Boughton 1983,1
Acacia_ataxacantha,1,lianous shrub,West Africa,,,Zimmermann 1932; Ross and Gordon-Gray 1966b; Boughton 1984,1
Acacia_attenuata,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_aulacocarpa,1,small tree,Australia,base of phyllode,,Boughton 1981,1
Acacia_auriculiformis,1,tree,"Australia, Hong Kong",base of phyllodes,,"Keeler, pers. obs.; So 2004",1
Acacia_ausfeldii,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_baileyana,1,,,petiole,,Keeler unpub from herbariumspecimen,1
Acacia_barahonensis,1,shrub,Dominican Republic,petiole,,Miller 2008,1
Acacia_baronii,1,,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_belairioides,1,tree,Cuba,petiole,,Miller 2008,1
Acacia_berlanderii,1,shrub,Mexico,petiole,,Keeler unpub from herbariumspecimen,1
Acacia_betchei,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_biaciculata,1,prostrate shrub,Mexico,petiole,,Miller 2008,1
Acacia_bilimeki,1,tree,Mexico,petiole,,Miller 2008,1
Acacia_blakei,1,small tree,Australia,base of phyllode,,Keeler unpub from herbarium specimen,1
Acacia_blakelyi,1,,Australia,base of phyllode,,Keeler unpub from herbarium specimen,1
Acacia_brachystachya,1,tree,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_brandageana,1,shrub,Baja California,petiole,,Miller 2008,1
Acacia_brevispica,1,,Africa,petiole,,Ross and Gordon-Gray 1966b,1
Acacia_bucheri,1,tree,Cuba,petiole,,Miller 2008,1
Acacia_caesia,1,,Pacific Basin,petiole,,Keeler unpub from herbariumspecimen,1
Acacia_caffra,1,tree,Africa,petiole,,,1
Acacia_calamifolia,1,,,,,Zimmermann 1932,1
Acacia_calyculata,1,herb,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_cambagei,1,,,petiole,,Boughton 1981,1
Acacia_camptocladia,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_cana,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_canescens,1,tree,Colombia,petiole,,Bhattacharyya and Maheshwari 1971; Keeler unpub from herbariumspecimen,1
Acacia_caurina,1,sprawling shrub,Haiti,petiole,,Miller 2008,1
Acacia_chalkeri,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_chariessa,1,shrub,Africa,along rachis,,Keeler unpub from herbariumspecimen,1
Acacia_cheelii,1,,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_chiapensis,1,,Central America,petiole,,Janzen 1974; Miller 2008,1
Acacia_choriophylla,1,,Bahamas,rachis between leaflets,,Miller 2008; Koptur et al. 2010,1
Acacia_chundra,1,tree,Ceylon,petiole,,Keeler unpub from herbariumspecimen,1
Acacia_cincinnata,1,tree,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_cochliacantha,1,tree,Mexico,,,Keeler unpub.,1
Acacia_cochlocarpa,1,,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_collinsii,1,,Central America,petiole,photo in Miller 2008,Janzen 1974; Miller 2008,1
Acacia_complanata,1,shrub,Australia,base of phyllode,,Boughton 1981; Keeler unpub from herbarium,1
Acacia_concinna,1,vine,"Philippines, Hong Kong",petiole,,Keeler unpub from herbariumspecimen; So 2004,1
Acacia_concurrens,1,tree,Australia,petiole,,,1
Acacia_conferta,1,,,petiole,,Boughton 1981,1
Acacia_confusa,1,tree,"Philippines, Hong Kong",base of phyllode,,"Keeler pers obs, living material; So 2004",1
Acacia_constablei,1,shrub,Australia,many along rachis,,Keeler unpub from herbariumspecimen,1
Acacia_constricta,1,shrub,AZ,"petiole, rachis",,Keeler and Deuth unpub.; Miller 2008,1
Acacia_cookii,1,tree,Central America,petiole rachis,,Janzen 1974; Miller 2008,1
Acacia_coriacea,1,tree,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_cornigera,1,tree,Central Amerca,"petiole, rachis",photo in Miller 2008; González-Teuber et al 2012,"Schnell, Cusset and Quenum 1963;Janzen 1974; Liu and Bonfil 2001; Miller 2008",1
Acacia_crassa,1,small tree,Australia,base of phyllode,,Boughton 1981,1
Acacia_cucuyo,1,tree,Dominican Republic,"petiole, rachis",photo in Miller 2008,Miller 2008,1
Acacia_cultriformis,1,,,,,Zimmermann 1932,1
Acacia_curvifructa,1,shrub,Argentina,"petiole, rachis",,Miller 2008,1
Acacia_cyanophyla,1,liana or shrub,Australia,leaf (phyllode),,Keeler unpub.,1
Acacia_cyclops,1,,Australia,,,"Milton and Moll, 1982",1
Acacia_dawsonii,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_dealbata,1,,?Australia,petiole,,Zimmermann 1932,1
Acacia_deanei,1,tree,Australia,many along rachis,,Keeler unpub from herbariumspecimen,1
Acacia_decora,1,,,petiole,,Boughton 1981,1
Acacia_decurrens,1,tree,Ecuador,petiole,Buckley 1983,Bhattacharyya and Maheshwari 1971; Buckley 1983,1
Acacia_dictyophleba,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_difformis,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_dodonaeifolia,1,tree,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_doratoxylon,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_elongata,1,shrub,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_ephedroides,1,,,,,,1
Acacia_eremaea,1,tree,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_erubescens,1,,Southwest Africa,petiole,,Keeler unpub from herbariumspecimen,1
Acacia_excelsa,1,,,petiole,,Boughton 1981,1
Acacia_falcata,1,,,petiole,,Boughton 1981,1
Acacia_falciformis,1,,,petiole,,Boughton 1981,1
Acacia_farnesiana,1,tree,Central America,"petiole, rachis",,"Baker, Opler and Baker 1978; Miller 2008",1
Acacia_ferruginea,1,,,,,Bhattacharyya and Maheshwari 1971,1
Acacia_fimbriata,1,,,petiole,,Boughton 1981,1
Acacia_floribunda,1,,,petiole,,Boughton 1981,1
Acacia_gaumeri,1,,,petiole,photo in Miller 2008,Miller 2008,1
Acacia_gentlei,1,tree,Central America,"petiole, rachis",photo in Miller 2008,Janzen 1974; Miller 2008,1
Acacia_glandulifera,1,shrub,Mexico,"petiole, rachis",,Miller 2008,1
Acacia_globulifera,1,tree,Central America,petiole,,Janzen 1974,1
Acacia_glomerosa,1,tree,Venezuela,many along rachis,,Keeler unpub.; Goitia and Jaffe 2011,1
Acacia_grandistipula,1,,South America,"stalked, many along rachis",,Keeler unpub.,1
Acacia_greggii,1,,Arizona,leaf rachis,,Deuth and Keeler unpub.; Pemberton 1988,1
Acacia_hayesii,1,shrub,Mexico,petiole,,Keeler unpub.,1
Acacia_hindsii,1,tree,Central America,"petiole, rachis","González-Teuber et al, 2012",Janzen 1974; Raine et al. 2002; Miller 2008,1
Acacia_huarango,1,shrub,Peru,along rachis,,Keeler unpub from herbariumspecimen,1
Acacia_hubbardiana,1,,,petiole,,Boughton 1981,1
Acacia_huilana,1,shrub,Colombia,petiole,,Keeler unpub.,1
Acacia_insulae-lacobi,1,tree,Galapagos,base of leaf; rachis,,Keeler unpub from herbariumvspecimen; Miller 2008,1
Acacia_interior,1,,,petiole,,Miller 2008,1
Acacia_iteaphylla,1,,,,,Zimmermann 1932,1
Acacia_ixodes,1,,,petiole,,Boughton 1981,1
Acacia_janzenii,1,tree,Mexico,petiole; rachis,,Ebinger and Seigler 1987; Miller 2008,1
Acacia_kallunkiae,1,,Brazil,rachis,,Barneby and Grimes 1985,1
Acacia_karroo,1,shrub,Australia,petiole; rachis,,"Milton and Moll, 1982; Miller 2008",1
Acacia_koa,1,tree,Hawaii,petiole,,Rock 1920; Keeler 1985,1
Acacia_koaia,1,tree,Hawaii,petiole,,Rock 1920; Keeler 1985,1
Acacia_lacerans,1,tree,,petiole,,,1
Acacia_latifolia,1,,,petiole,,Boughton 1981,1
Acacia_leiocalyx,1,,,petiole,,Boughton 1981,1
Acacia_leptostachya,1,,Australia,base of phyllode,,Keeler unpub from herbariumspecimen,1
Acacia_leucophloea,1,,,leaf,,Bhattacharyya and Maheshwari 1971,1
Acacia_ligulata,1,tree,Australia,phyllode margins,Whitney 2004,Whitney 2004,1
Acacia_lineata,1,,,petiole,,Boughton 1981,1
Acacia_longifolia,1,,,base of phyllode,,Zimmermann 1932; Boughton 1981; Elias 1983,1
Acacia_longissima,1,,,,,Boughton 1981,1
Acacia_loretensis,1,tree,Brazil,petiole,,Keeler unpub.,1
Acacia_macradenia,1,,,petiole,,Boughton 1981,1
Acacia_maidenii,1,,,petiole,,Boughton 1981,1
Acacia_maranoensis,1,,,petiole,,Boughton 1981,1
Acacia_mayana,1,tree,Central America,petiole; rachis,,Janzen 1974; Miller 2008,1
Acacia_mearnsii,1,,Australia,petiole,,O'Dowd 1980 in litt.,1
Acacia_melanoceras,1,tree,Central America,petiole; rachis,,Janzen 1974; Miller 2008,1
Acacia_melanoxylon,1,,,petiole,,Boughton 1981,1
Acacia_melvillei,1,,,petiole,,Boughton 1981,1
Acacia_microbotrya,1,,,petiole,,Zimmermann 1932,1
Acacia_microsperma,1,,,petiole,,Boughton 1981,1
Acacia_miersii,1,tree,Brazil,petiole,,Keeler unpub.,1
Acacia_mucronata,1,,,petiole,,Keeler unpub from herbariumspecimen,1
Acacia_muricata,1,tree,West Indies,petiole,photo in Miller 2008,Keeler unpub.; Miller 2008,1
Acacia_myrtifolia,1,,,petiole,,Zimmermann 1932; Marginson et al. 1985,1
Acacia_neriifolia,1,shrub,,phyllode,,Boughton 1981,1
Acacia_nitidifolia,1,vine,Brazil,rachis,,Keeler unpub.,1
Acacia_occidentalis,1,shrub,Mexico to South America,petiole,,,1
Acacia_omalophylla,1,,,,,Zimmermann 1932,1
Acacia_oshanesii,1,tree,Australia,along rachis,,Keeler unpub from herbarium specimen,1
Acacia_oviedoensis,1,tree,Dominican Republic,petiole,,Miller 2008,1
Acacia_pacensis,1,shrub,Mexico,petiole; rachis,,Miller 2008,1
Acacia_paraensis,1,vine-like shrub,Peru,rachis,,Keeler unpub.,1
Acacia_parramattensis,1,,,"series of nectaries along the rachis, 1 per leaflet",,Keeler unpub from herbariumspecimen,1
Acacia_parviflora,1,shrub,Mexico,petiole,,Keeler unpub.from herbarium specimen,1
Acacia_peninsularis,1,tree,Mexico,petiole,,Boughton 1981,1
Acacia_pennata,1,liana,Hong Kong,along petiole; rachis,,So 2004; Liu and Chen 2008,1
Acacia_pennatula,1,shrub,Mexico,petiole,Moya-Raygoza and Larsen 2001; Moya-Raygoza 2005,Keeler unpub from herbariumspecimen; Moya-Raygoza and Larsen 2001; Moy-Raygoza 2005; Miller 2008,1
Acacia_penninervis,1,,,,,,1
Acacia_piauhiensis,1,,Brazil dry forest,,,Melo et al. 2010,1
Acacia_picachensis,1,tree,Mexico,petiole,photo in Miller 2008,Keeler unpub.; Miller 2008,1
Acacia_plumosa,1,vine,Brazil,petiole,,Keeler unpub.,1
Acacia_podalyriifolia,1,,Australia,petiole,,Boughton 1981; Milton and Moll 1982,1
Acacia_polyacantha,1,tree,Tanganika,"petiole, sometimes double",,"Keeler, unpub from herbarium specimen",1
Acacia_polyphylla,1,tree,Brazil,petiole,,Keeler unpub.,1
Acacia_polypyrigenes,1,shrub,Cuba,petiole; rachis,,Miller 2008,1
Acacia_potosina,1,vine,Mexico,petiole,,Keeler unpub.,1
Acacia_pringlei,1,tree,Mexico,"stalked, petiole",,Keeler unpub from herbarium specimen; Miller 2008,1
Acacia_pubescens,1,,,internode of rachis,,Bhattacharyya and Maheshwari 1971,1
Acacia_pulchella,1,shrub,Australia,petiole,,Keeler unpub.,1
Acacia_pycnantha,1,tree,Australia,petiole,,Zimmermann 1932; Ford and Forde 1976; Milton and Moll 1982; O'Dowd 1983; Marginson et al. 1985,1
Acacia_retinodes,1,,,,,Rock 1920,1
Acacia_rigidula,1,shrub,Mexico,petiole,,"Seigler et al, 1982; Miller 2008",1
Acacia_robusta,1,,Kenya,petiole,,Keeler unpub from herbarium specimen,1
Acacia_roigii,1,tree,Cuba,petiole; rachis,syn. Vachellia roigii,,1
Acacia_rorudiana,1,prostrate shrub,Galapagos,petiole; rachis,syn. Vachellia rorudiana,,1
Acacia_rubida,1,,,petiole,,Zimmermann 1932,1
Acacia_ruddiae,1,shrub,Central America,petiole; rachis,,Janzen 1974; Miller 2008,1
Acacia_saligna,1,,Australia,,Lach et al. 2009,"Milton and Moll, 1982; Lach et al. 2009",1
Acacia_schaffneri,1,shrub,"Texas, Mexico",petiole,,Miller 2008,1
Acacia_schottii,1,shrub,"Texas, Mexico",petiole; rachis,,Miller 2008,1
Acacia_semirigida,1,,,petiole,,Boughton 1981,1
Acacia_serra,1,tree,Peru,petiole,,Keeler unpub.,1
Acacia_shirleyi,1,,,petiole,,Boughton 1981,1
Acacia_soratensis,1,tree,Bolivia,petiole,,Keeler unpub.,1
Acacia_spadicifera,1,shrub,Mexico,petiole,,,1
Acacia_sphaerocephala,1,tree,South and Central Amer,petiole; rachis,photo in Miller 2008,Janzen 1974; Pascal et al. 2000; Miller 2008,1
Acacia_stenophylla,1,,,petiole,,Boughton 1981,1
Acacia_stowardii,1,,,petiole,,Boughton 1981,1
Acacia_suaveolens,1,,,petiole,,Boughton 1981,1
Acacia_subangulata,1,shrub,Mexico,petiole,,Keeler unpub.,1
Acacia_subulata,1,,,petiole,,Boughton 1981,1
Acacia_tamarindifolia,1,shrub,West Indies,stalked on petiole,,Keeler unpub.,1
Acacia_telensis,1,woody vine,Central America,many on midrib,,Keeler unpub.,1
Acacia_tenuifolia,1,vine; tree,"Panama, West Indies",petiole,,Keeler unpub from herbarium specimen,1
Acacia_terminalis,1,,Australia,petiole,,Zimmermann 1932; Knox et al. 1985; Marginson et al. 1985,1
Acacia_tetragonophylla,1,,,petiole,,Boughton 1981,1
Acacia_tomentella,1,vine,Ecuador,petiole,,Keeler unpub.,1
Acacia_tortuosa,1,shrub,Texas to South America,petiole,,Keeler unpub.,1
Acacia_triptera,1,,,,,Bailey 1900 cited in ?,1
Acacia_ulcifolia,1,,,petiole,,Boughton 1981,1
Acacia_uncinella,1,,,petiole,,Zimmermann 1932,1
Acacia_villosa,1,tree,Mexico,,,Keeler unpub from herbarium specimen,1
Acacia_wildenowiana,1,tree,South Africa,along rachis,,Keeler unpub from herbarium specimen,1
Acacia_zapatensis,1,shrub,Cuba,petiole; rachis,,Miller 2008,1
Adenanthera_colubin,1,,,petiole,,Simon et al. 2011,1
Adenanthera_pavonina,1,tree,"Yunnan, China",rachis and vein upper side,,Liu and Chen 2008,1
Adenanthera_spahaerocephala,1,,,rachis,,Pascal et al. 2000,1
Affonsea_hirsuta,1,"""arbusto""",Brazil,between leaflets,,Keeler unpub. from herbarium specimen,1
Albizia_adinocephala,1,tree,Mexico,petiole,,Keeler unpub.from herbarium specimen,1
Albizia_amara,1,,,leaves,,Bhattacharyya and Maheshwari 1971,1
Albizia_caribeae,1,tree,Mexico,petiole,,Keeler unpub. from herbarium specimen,1
Albizia_chinensis,1,,Hong Kong,petiole,,Rock 1920; So 2004,1
Albizia_coreana,1,,Korea,petiole,,Pemberton 1990,1
Albizia_corniculata,1,,Hong Kong,petiole,,So 2004,1
Albizia_falcataria,1,,,petiole,,Rock 1920,1
Albizia_guachapele,1,tree,Central America,btw. pinnae & on rachis,,Croat 1978; Schupp and Feener 1991,1
Albizia_idiopoda,1,tree,Central America,petiole,,Keeler unpub.from herbarium specimen,1
Albizia_julibrissin,1,tree,SouthUS,petiole,,Cronquist 1981; Pemberton 1990; So 2004,1
Albizia_lebbeck,1,tree,West Indies,base of leaf,,Schnell Cusset and Quenum 1963; Pascal et al. 2000,1
Albizia_lebbekoides,1,,,petiole,,Rock 1920,1
Albizia_lophantha,1,,,,,Zimmermann 1932,1
Albizia_moluccana,1,,,petiole,,Keeler unpub.from herbarium specimen,1
Albizia_pedicellata,1,tree,Malaysia,rachis,,"Bhattacharyya and Maheshwari 1971,Fiala and Linsenmair 1995",1
Albizia_procera,1,,,petiole,,Rock 1920,1
Albizia_retusa,1,,,petiole,,Rock 1920,1
Albizia_saponaria,1,,,,,Keeler unpub.from herbarium specimen,1
Albizia_stipulata,1,,,,,Keeler unpub.from herbarium specimen,1
Alexa_canaracuensis,1,,Venezuela,base of leaflets,,Keeler unpub. from herbarium specimen,1
Alexa_grandiflora,1,,Amazon,base of leaflets,,Keeler unpub. from herbarium specimen,1
Alexa_wachenheimii,1,,Surinam,base of leaflets,,Keeler unpub. From herbarium specimen,1
Anadenanthera_colubrina,1,,Brazil dry forest,,,"Melo et al., 2010",1
Anadenanthera_falcata,1,herb,Brazil,rachis,,Oliviera and Leitão-Filho 1987; Oliviera and Pie 1998; Machado et al. 2008,1
Apios_americana,1,herb,US,fascicle,Harvey 2009,Harvey 2009,1
Archidendron_bubalinum,1,understory tree,Malaysia,rachis,,Fiala and Linsenmair 1995,1
Archidendron_calycinum,1,,,,,Zimmermann 1932,1
Archidendron_dypearia,1,,Hong Kong,,,So 2004,1
Archidendron_globosum,1,understory tree,Malaysia,rachis,,Fiala and Linsenmair 1995,1
Archidendron_kerrii,1,tree,"Yunnan, China",rachis,,Liu and Chen 2008,1
Archidendron_lucidum,1,,Hong Kong,,,So 2004,1
Archidendron_macrocarpum,1,understory tree,Malaysia,rachis,,Fiala and Linsenmair 1995,1
Archidendron_ramiflorum,1,tree,Australia,"stem, rachis",,Bluthgen&Reifenrath 2003,1
Archidendron_utile,1,,Hong Kong,,,So 2004,1
Arthrosamanea_altissima,1,,,,,"Schnell, Cusset and Quenum 1963",1
Balizia_peticilaris,1,tree,Amazon rainforest,petiole,,Blüthgen et al. 2000,1
Baptisia_leucophylla,1,,,postfloral,,"Keeler, unpub.",1
Bauhinia_blakeana,1,,,buds,,Keeler unpub.,1
Bauhinia_cheilantha,1,,Brazil dry forest,,,Melo et al. 2010,1
Bauhinia_pauletia,1,,,,,Baker Opler and Baker 1978,1
Bauhinia_rufa,1,,Brazil,intrastipular trichomes,,Oliviera and Leitão-Filho 1987; Oliviera and Pie 1998; Oliviera and Freitas 2004; Machado et al. 2008,1
Bauhinia_ungulata,1,,,,,PA Opler unpub,1
Brownea_grandiceps,1,,,bud scales,,McKey 1989,1
Brownea_macrophylla,1,tree,Panama and n SAm,"""single globose gland ca 1 mm diam on the underside of the leaflet base""",,Croat 1978,1
Caesalpinia_bondoc,1,,,,,Keeler 1985,1
Caesalpinia_crista,1,shrub,Mexico,stipules; stems of inflorescence; bracts,,Díaz-Castelazo et al. 2004,1
Caesalpinia_cucullatum,1,liana,"Yunnan, China",apex,,Liu and Chen 2008,1
Caesalpinia_gilliesii,1,,,leaflet margins,,McKey 1989,1
Caesalpinia_japonica,1,,,rachis,,Pemberton 1990,1
Calliandra_haematomma,1,,Bahamas,foliar,,Koptur et al. 2010,1
Calopogonium_caeruleum,1,herb,Mexico,stipules; shoots,,Díaz-Castelazo et al. 2004,1
Canavalia_gladiata,1,,,leaf base,,Nieuwenhuis 1907; Zimmermann 1932; So 2004,1
Canavalia_lineata,1,,,leaf base,,Pemberton 1998; So 2004,1
Canavalia_maritima,1,,,leaf base,,So 2004,1
Canavalia_rosea,1,vine,Mexico,"stems, leaf axils, stems of inflorescence, aborted flowers",,Díaz-Castelazo et al. 2004,1
Cassia_absus,1,,,between leaflets,,Metcalfe and Chalk 1979,1
Cassia_acutifolia,1,,,,,Zimmermann 1932,1
Cassia_alata,1,,,,,,1
Cassia_apoucouita,1,,,,,Zimmermann 1932,1
Cassia_artemisioides,1,,,petiole,,Bhattacharyya and Maheshwari 1981,1
Cassia_atroglandulosa,1,,,leaf,,Bhattacharyya and Maheshwari 1981,1
Cassia_auriculata,1,,,between leaflets,,Metcalfe and Chalk 1979,1
Cassia_bacillaris,1,,,,,,1
Cassia_bicapsularis,1,,,,,,1
Cassia_biflora,1,,,,,,1
Cassia_calyciodes,1,,,,,Zimmermann 1932,1
Cassia_canca,1,,,,,Zimmermann 1932,1
Cassia_chaemaecrista,1,,,,,Zimmermann 1932,1
Cassia_colubrina,1,,,,,Zimmermann 1932,1
Cassia_coluteoides,1,,,,,Bhattacharyya and Maheshwari 1981,1
Cassia_covesii,1,,,,,,1
Cassia_dimidists,1,,,petiole,,Bhattacharyya and Maheshwari 1981,1
Cassia_divaricata,1,,,leaf,,Bhattacharyya and Maheshwari 1981,1
Cassia_fasciculata,1,,,,,,1
Cassia_floribunda,1,,,petiole,,Rock 1920,1
Cassia_fruticosa,1,,,,,,1
Cassia_gaudichaudi,1,,,petiole,,Rock 1920,1
Cassia_glandulosa,1,,,petiole,,"Keeler unpub, using herbarium specimen",1
Cassia_glauca,1,,,,,,1
Cassia_hebecarpa,1,,,,,,1
Cassia_hochstetterii,1,,tropical,petiole,,Bhattacharyya and Maheshwari 1981,1
Cassia_hookeriana,1,tree,,leaf,,Zimmermann 1932,1
Cassia_kleinei,1,,,petiole,,Zimmermann 1932,1
Cassia_laevigata,1,,,,,,1
Cassia_leptocarpa,1,,,,,"Kearney and Peebles, 1951",1
Cassia_leschenaultiana,1,,,petiole,,Keeler 1985,1
Cassia_marilandica,1,,,,,,1
Cassia_mimosoides,1,,,petiole,,Bhattacharyya and Maheshwari 1981; Pemberton 1990,1
Cassia_mindanaensis,1,,,"petiole, rachis",,Bhattacharyya and Maheshwari 1981,1
Cassia_multijuga,1,,,,,Zimmermann 1932,1
Cassia_negrensis,1,,,,,Zimmermann 1932,1
Cassia_nictitans,1,,Bahamas,leaf,,Zimmermann 1932; Koptur et al. 2010,1
Cassia_obtusifolia,1,,,,,,1
Cassia_occidentalis,1,,,,,,1
Cassia_oxyphylla,1,,,,,Zimmermann 1932,1
Cassia_patellaria,1,,,petiole,,Bhattacharyya and Maheshwari 1981,1
Cassia_phyllodinea,1,,,leaf,,Bhattacharyya and Maheshwari 1981,1
Cassia_pumila,1,,,petiole,,Bhattacharyya and Maheshwari 1981,1
Cassia_reticulata,1,sm. tree,Costa Rica,stipules,,Mexzón and Chinchilla 1999,1
Cassia_rugosa,1,,Brazil,rachis,,Machado et al. 2008,1
Cassia_sophora,1,,,,,,1
