Phy,Consensus.mycorrhizal.state
Acacia_auriculiformis,AM
Acacia_cochliacantha,AM
Acacia_constricta,AM
Acacia_dealbata,AM
Acacia_farnesiana,AM
Acacia_holosericea,EM
Acacia_koa,AM
Acacia_linifolia,EM
Acacia_mangium,EM
Acacia_pennatula,AM
Acacia_suaveolens,EM
Acacia_tortilis,AM
Aeschynomene_indica,AM
Albizia_gummifera,AM
Albizia_inundata,AM
Albizia_julibrissin,AM
Albizia_kalkora,AM
Albizia_lebbeck,AM
Albizia_niopoides,AM
Alhagi_maurorum,AM
Alysicarpus_rugosus,AM
Alysicarpus_vaginalis,AM
Amorpha_canescens,AM
Amorpha_fruticosa,AMNM
Anadenanthera_colubrina,AM
Anadenanthera_peregrina,AM
Anthyllis_cytisoides,AM
Anthyllis_vulneraria,AMNM
Arachis_hypogaea,AM
Astragalus_alopecias,AM
Astragalus_alpinus,NM
Astragalus_cicer,AM
Astragalus_crassicarpus,AM
Astragalus_danicus,AMNM
Astragalus_filicaulis,AM
Astragalus_frigidus,NM
Astragalus_glycyphyllos,NM
Astragalus_lehmannianus,NM
Astragalus_monspessulanus,AMNM
Astragalus_onobrychis,AM
Astragalus_umbellatus,NM
Baptisia_alba,AM
Baptisia_australis,AM
Baptisia_bracteata,AM
Bauhinia_forficata,AM
Bauhinia_guianensis,AM
Berlinia_bracteosa,EM
Brachystegia_cynometroides,EM
Brachystegia_laurentii,EM
Caesalpinia_ferrea,AM
Cajanus_cajan,AM
Cajanus_scarabaeoides,AM
Calliandra_brevipes,AM
Calliandra_eriophylla,AM
Calliandra_parvifolia,EM
Calopogonium_caeruleum,AM
Canavalia_rosea,AM
Caragana_arborescens,AMNM
Caragana_turkestanica,AM
Cassia_grandis,AM
Castanospermum_australe,AM
Centrolobium_tomentosum,AM
Centrosema_arenarium,AM
Centrosema_brasilianum,AM
Centrosema_macrocarpum,AM
Centrosema_pascuorum,AM
Centrosema_pubescens,AM
Ceratonia_siliqua,AM
Chamaecrista_apoucouita,AM
Chamaecrista_chamaecristoides,AM
Cicer_arietinum,AM
Clathrotropis_macrocarpa,AM
Copaifera_langsdorffii,AM
Coronilla_scorpioides,AM
Crotalaria_burhia,AM
Crotalaria_goreensis,AM
Crotalaria_incana,AM
Crotalaria_juncea,AM
Crotalaria_medicaginea,AM
Crotalaria_ochroleuca,AM
Cylicodiscus_gabunensis,AM
Cytisus_scoparius,AM
Dalbergia_obtusifolia,AM
Dalbergia_sissoo,AM
Dalea_candida,AM
Dalea_purpurea,AM
Daviesia_corymbosa,AM
Desmanthus_illinoensis,AM
Desmodium_heterocarpon,AM
Desmodium_heterophyllum,AM
Desmodium_illinoense,AM
Desmodium_microphyllum,AM
Desmodium_paniculatum,AM
Desmodium_sessilifolium,AM
Dicorynia_guianensis,AM
Dicymbe_altsonii,EM
Didelotia_africana,EM
Dillwynia_retorta,EM
Diphysa_americana,AM
Distemonanthus_benthamianus,AM
Dorycnium_hirsutum,NM
Dorycnium_pentaphyllum,AM
Enterolobium_contortisiliquum,AM
Enterolobium_cyclocarpum,AM
Eperua_falcata,AM
Erythrina_berteroana,AM
Erythrina_crista-galli,AM
Erythrina_poeppigiana,AM
Faidherbia_albida,AM
Falcataria_moluccana,AM
Galega_orientalis,AMNM
Genista_tinctoria,AM
Gleditsia_amorphoides,EM
Gleditsia_triacanthos,AMNM
Gliricidia_sepium,AM
Glycine_max,AM
Glycyrrhiza_glabra,AM
Glycyrrhiza_korshinskyi,AM
Gompholobium_grandiflorum,AM
Gossweilerodendron_balsamiferum,AM
Halimodendron_halodendron,AMNM
Havardia_albicans,AM
Hedysarum_caucasicum,AM
Hedysarum_coronarium,AM
Hedysarum_spinosissimum,AM
Hippocrepis_comosa,AM
Hippocrepis_unisiliquosa,AM
Hymenaea_courbaril,AMNM
Indigofera_brevidens,AM
Indigofera_cordifolia,AM
Indigofera_kirilowii,AM
Indigofera_linifolia,AM
Indigofera_tinctoria,AM
Inga_leiocalycina,AM
Inga_nobilis,AM
Inga_pezizifera,AM
Inga_sessilis,AM
Inga_thibaudiana,AM
Intsia_palembanica,EM
Kummerowia_striata,AM
Lablab_purpureus,AM
Laburnum_anagyroides,AM
Lathyrus_aphaca,AM
Lathyrus_japonicus,AM
Lathyrus_linifolius,AM
Lathyrus_niger,AMNM
Lathyrus_odoratus,AM
Lathyrus_pisiformis,AM
Lathyrus_pratensis,AMNM
Lathyrus_sativus,AM
Lathyrus_sylvestris,AM
Lathyrus_tuberosus,AM
Lathyrus_vernus,AM
Lens_culinaris,AM
Lespedeza_bicolor,AM
Lespedeza_capitata,AM
Leucaena_diversifolia,AM
Leucaena_leucocephala,AM
Leucaena_retusa,AM
Leucaena_trichodes,AM
Lonchocarpus_nitidus,EM
Lotus_corniculatus,AMNM
Lotus_glaber,AM
Lotus_pedunculatus,AM
Lotus_tenuis,AM
Lupinus_albus,NM
Lupinus_angustifolius,AMNM
Lupinus_arcticus,NM
Lupinus_luteus,AMNM
Lupinus_mutabilis,AM
Lupinus_polyphyllus,AMNM
Maackia_amurensis,AMNM
Machaerium_stipitatum,AM
Macrolobium_bifolium,AM
Macrolobium_suaveolens,AM
Macroptilium_atropurpureum,AM
Macrotyloma_uniflorum,AM
Medicago_falcata,AM
Medicago_littoralis,AM
Medicago_lupulina,AM
Medicago_marina,AM
Medicago_minima,AM
Medicago_polymorpha,AM
Medicago_sativa,AM
Melilotus_albus,AM
Melilotus_indicus,AM
Melilotus_officinalis,AM
Microberlinia_bisulcata,EM
Mimosa_bimucronata,AM
Mimosa_lacerata,AM
Mimosa_luisana,AM
Mimosa_polyantha,AM
Mimosa_pudica,AM
Mimosa_quadrivalvis,AM
Mimosa_scabrella,AM
Mora_excelsa,AM
Myroxylon_peruiferum,AM
Olneya_tesota,AM
Onobrychis_arenaria,AM
Onobrychis_biebersteinii,AMNM
Onobrychis_grandis,AM
Onobrychis_viciifolia,AM
Ononis_natrix,AM
Ormosia_arborea,AMNM
Ormosia_coccinea,AM
Ornithopus_compressus,AM
Oxytropis_kubanensis,AM
Oxytropis_scammaniana,AM
Parapiptadenia_rigida,AM
Parkia_speciosa,AM
Parkinsonia_aculeata,AM
Peltophorum_dubium,AMNM
Pentaclethra_macroloba,AM
Phaseolus_coccineus,AM
Phaseolus_lunatus,AM
Phaseolus_vulgaris,AM
Pisum_sativum,AM
Platycyamus_regnellii,AM
Platypodium_elegans,AM
Poecilanthe_parviflora,AM
Prosopis_articulata,AM
Prosopis_cineraria,AM
Prosopis_glandulosa,AM
Prosopis_juliflora,AM
Prosopis_laevigata,AM
Pterocarpus_angolensis,AM
Pterocarpus_soyauxii,AM
Pterogyne_nitens,AM
Pueraria_phaseoloides,AM
Pultenaea_elliptica,EM
Rhynchosia_minima,AM
Robinia_pseudoacacia,EM
Schizolobium_parahyba,AM
Scorodophloeus_zenkeri,AM
Scorpiurus_muricatus,AM
Senna_corymbosa,AM
Senna_multijuga,AM
Senna_reticulata,AM
Senna_spectabilis,AM
Sesbania_formosa,AM
Sesbania_grandiflora,AM
Sesbania_javanica,AM
Sesbania_pachycarpa,AM
Sesbania_punicea,AM
Sesbania_sesban,AM
Sesbania_tomentosa,AM
Sophora_chrysophylla,AM
Spartium_junceum,AM
Strophostyles_umbellata,AM
Stryphnodendron_microstachyum,AM
Stylosanthes_capitata,AM
Stylosanthes_guianensis,AM
Stylosanthes_leiocarpa,AM
Stylosanthes_macrocephala,AM
Swainsona_phacoides,AM
Swartzia_jenmanii,AM
Tamarindus_indica,AM
Tephrosia_purpurea,AM
Tephrosia_sphaerospora,AM
Tetraberlinia_bifoliolata,EM
Tetraberlinia_moreliana,EM
Thermopsis_lanceolata,AM
Tipuana_tipu,AM
Trifolium_alexandrinum,AM
Trifolium_alpestre,AMNM
Trifolium_ambiguum,AM
Trifolium_arvense,AM
Trifolium_aureum,AM
Trifolium_badium,AM
Trifolium_campestre,AM
Trifolium_canescens,AM
Trifolium_dubium,AM
Trifolium_fragiferum,AMNM
Trifolium_glomeratum,AM
Trifolium_hybridum,AMNM
Trifolium_incarnatum,AM
Trifolium_lupinaster,AM
Trifolium_medium,AM
Trifolium_pratense,AMNM
Trifolium_repens,AM
Trifolium_resupinatum,AMNM
Trifolium_spadiceum,AM
Trifolium_subterraneum,AMNM
Ulex_europaeus,AM
Vicia_cassubica,AMNM
Vicia_cracca,AM
Vicia_faba,AM
Vicia_hirsuta,AM
Vicia_sativa,AM
Vicia_sepium,AM
Vicia_sylvatica,AM
Vicia_tenuifolia,AM
Vicia_tetrasperma,AM
Vicia_villosa,AM
Vigna_aconitifolia,AM
Vigna_luteola,AM
Vigna_marina,AM
Vigna_mungo,AM
Vigna_parkeri,AM
Vigna_radiata,AM
Vigna_unguiculata,AM
Wisteria_sinensis,AM
Xylia_xylocarpa,AM
Zornia_brasiliensis,AM
Zornia_glabra,AM
