Phy,Counts
Caragana polourensis,694
Caragana pruinosa,961
Caragana rosea,3622
Caragana sinica,136947
Caragana tragacanthoides,698
Caragana turkestanica,816
Caragana versicolor,4343
Caragana zahlbruckneri,708
Carmichaelia aligera,26
Carmichaelia angustata,225
Carmichaelia arborea,1529
Carmichaelia arenaria,1316
Carmichaelia exsul,106
Carmichaelia flagelliformis,54
Carmichaelia grandiflora,1883
Carmichaelia kirkii,205
Carmichaelia odorata,2033
Carmichaelia orbiculata,93
Carmichaelia ovata,1386
Carmichaelia petriei,36
Carmichaelia robusta,3165
Carmichaelia violacea,783
Carmichaelia virgata,538
Cassia abbreviata,9435
Cassia agnes,48464
Cassia bakeriana,9255
Cassia brewsteri,9247
Cassia circinnata,9249
Cassia cowanii,9284
Cassia desolata,9258
Cassia eremophila,9583
Cassia fastuosa,9287
Cassia ferruginea,10202
Cassia fistula,57658
Cassia grandis,16247
Cassia leiandra,9241
Cassia leptophylla,9320
Cassia marksiana,9241
Cassia moschata,10569
Cassia nemophila,9282
Cassia renigera,9253
Cassia roxburghii,10039
Cassia rubriflora,9298
Cassia spruceana,9296
Castanospermum australe,847
Cathormion umbellatum,171
Cedrelinga cateniformis,33
Cenostigma gardnerianum,111
Cenostigma macrophyllum,251
Cenostigma tocantinum,79
Centrolobium microchaete,62
Centrolobium paraense,2986
Centrolobium robustum,315
Centrolobium tomentosum,335
Centrosema acutifolium,223
Centrosema angustifolium,900
Centrosema arenarium,351
Centrosema bracteosum,173
Centrosema brasilianum,292
Centrosema dasyanthum,162
Centrosema haitiense,162
Centrosema macranthum,193
Centrosema macrocarpum,293
Centrosema molle,2802
Centrosema pascuorum,201
Centrosema plumieri,275
Centrosema pubescens,2652
Centrosema rotundifolium,264
Centrosema sagittatum,241
Centrosema schottii,218
Centrosema venosum,346
Centrosema vexillatum,159
Centrosema virginianum,260
Ceratonia siliqua,652
Cercis canadensis,4786
Cercis chingii,364
Cercis glabra,2728
Cercis racemosa,2184
Cercis siliquastrum,302
Chadsia grevei,42
Chaetocalyx latisiliqua,19
Chaetocalyx scandens,694
Chamaecrista absus,333
Chamaecrista adiantifolia,311
Chamaecrista apoucouita,303
Chamaecrista aspleniifolia,311
Chamaecrista biensis,303
Chamaecrista calycioides,303
Chamaecrista chamaecristoides,302
Chamaecrista ciliolata,331
Chamaecrista comosa,558
Chamaecrista conferta,478
Chamaecrista cytisoides,329
Chamaecrista decumbens,1150
Chamaecrista dentata,1202
Chamaecrista desvauxii,303
Chamaecrista diphylla,376
Chamaecrista duartei,308
Chamaecrista ensiformis,816
Chamaecrista fagonioides,302
Chamaecrista falcinella,318
Chamaecrista fallacina,309
Chamaecrista fasciculata,1295
Chamaecrista fenarolii,302
Chamaecrista flexuosa,1172
Chamaecrista geminata,670
Chamaecrista glandulosa,819
Chamaecrista gracilior,368
Chamaecrista hispidula,368
Chamaecrista isidorea,302
Chamaecrista katangensis,328
Chamaecrista kirkii,481
Chamaecrista kleinii,354
Chamaecrista kunthiana,329
Chamaecrista leschenaultiana,308
Chamaecrista lineata,832
Chamaecrista neesiana,349
Chamaecrista negrensis,317
Chamaecrista nictitans,387
Chamaecrista nomame,332
Chamaecrista orbiculata,370
Chamaecrista parva,2588
Chamaecrista pilosa,1498
Chamaecrista planaltoana,302
Chamaecrista polytricha,434
Chamaecrista pumila,1584
Chamaecrista ramosa,788
Chamaecrista repens,3750
Chamaecrista rotundifolia,1266
Chamaecrista serpens,863
Chamaecrista stricta,1104
Chamaecrista telfairiana,302
Chamaecrista viscosa,1170
Chamaecrista wittei,337
Chamaecrista xinguensis,318
Chamaecrista zambesica,304
Chesneya cuneata,480
Chesneya ternata,360
Chloroleucon dumosum,68
Chloroleucon foliolosum,61
Chloroleucon mangense,29
Chloroleucon tortum,99
Chorizema aciculare,16
Chorizema cordatum,228
Chorizema cytisoides,30
Chorizema diversifolium,18
Chorizema ericifolium,4
Chorizema parviflorum,134
Chorizema reticulatum,736
Christia obcordata,492
Cicer arietinum,3977
Cicer chorassanicum,3910
Cicer echinospermum,3915
Cicer pinnatifidum,3948
Cicer reticulatum,4615
Cladrastis platycarpa,101
Cladrastis sikokiana,54
Cladrastis wilsonii,249
Clathrotropis macrocarpa,1134
Clathrotropis nitida,927
Cleobulia multiflora,1201
Clianthus puniceus,93
Clitoria amazonum,829
Clitoria annua,3267
Clitoria arborea,2299
Clitoria australis,7939
Clitoria fairchildiana,797
Clitoria falcata,1408
Clitoria guianensis,2071
Clitoria javitensis,799
Clitoria laurifolia,1008
Clitoria mariana,102641
Clitoria sagotii,797
Clitoria ternatea,831
Codariocalyx gyroides,11
Codariocalyx motorius,13
Coelidium parvifolium,92
Cojoba arborea,1514
Collaea speciosa,2317
Cologania angustifolia,3613
Cologania broussonetii,34
Colutea arborescens,1000
Colutea cilicica,102
Colutea nepalensis,474
Colutea orientalis,7220
Colutea persica,2840
Colvillea racemosa,1921
Conzattia multiflora,1198
Copaifera baumiana,666
Copaifera duckei,745
Copaifera langsdorffii,768
Copaifera lucens,866
Copaifera multijuga,756
Copaifera officinalis,10858
Copaifera trapezifolia,666
Corallospartium crassicaule,15
Cordeauxia edulis,7764
Coronilla coronata,976
Coronilla juncea,4038
Coronilla minima,4952
Coronilla repanda,341
Coronilla scorpioides,367
Coronilla vaginalis,5452
Coronilla valentina,86201
Coursetia caribaea,711
Coursetia ferruginea,1001
Craibia brevicaudata,75
Cranocarpus martii,146
Cratylia argentea,784
Cratylia hypargyraea,97
Crotalaria abbreviata,1474
Crotalaria acicularis,1355
Crotalaria agatiflora,1248
Crotalaria alata,3927
Crotalaria albida,1716
Crotalaria alexandri,2196
Crotalaria angulata,2137
Crotalaria anisophylla,1266
Crotalaria anthyllopsis,1249
Crotalaria argyraea,1253
Crotalaria assamica,1458
Crotalaria atrorubens,1305
Crotalaria axillaris,1756
Crotalaria barkae,1267
Crotalaria barnabassii,1248
Crotalaria bequaertii,1281
Crotalaria bongensis,1251
Crotalaria brachycarpa,1321
Crotalaria bracteata,1665
Crotalaria brevidens,1354
Crotalaria breviflora,1373
Crotalaria brevis,5359
Crotalaria burhia,1248
Crotalaria burkeana,1259
Crotalaria calycina,1385
Crotalaria capensis,3628
Crotalaria caudata,2493
Crotalaria cephalotes,1562
Crotalaria chinensis,11103
Crotalaria chirindae,1248
Crotalaria cleomifolia,1248
Crotalaria collina,2276
Crotalaria colorata,1423
Crotalaria comosa,1504
Crotalaria cunninghamii,1416
Crotalaria cylindrostachys,1251
Crotalaria damarensis,1345
Crotalaria deserticola,1543
Crotalaria dissitiflora,1270
Crotalaria distans,1410
Crotalaria doidgeae,1250
Crotalaria dura,5588
Crotalaria eremicola,1259
Crotalaria excisa,1303
Crotalaria ferruginea,2218
Crotalaria filicaulis,1275
Crotalaria filipes,1302
Crotalaria flavicarinata,1248
Crotalaria gazensis,1256
Crotalaria glauca,3803
Crotalaria glaucoides,1275
Crotalaria globifera,1272
Crotalaria goreensis,1263
Crotalaria hainanensis,1664
Crotalaria heidmannii,1248
Crotalaria holosericea,1341
Crotalaria humifusa,1416
Crotalaria humilis,2184
Crotalaria hyssopifolia,1329
Crotalaria impressa,1727
Crotalaria incana,1931
Crotalaria insignis,2089
Crotalaria juncea,4778
Crotalaria kapiriensis,1249
Crotalaria kipandensis,1248
Crotalaria laburnifolia,1248
Crotalaria lachnocarpoides,1248
Crotalaria lachnophora,1248
Crotalaria lanceolata,3356
Crotalaria lasiocarpa,1426
Crotalaria leptostachya,1306
Crotalaria linifolia,1293
Crotalaria longirostrata,1268
Crotalaria longithyrsa,1250
Crotalaria maypurensis,1252
Crotalaria medicaginea,1249
Crotalaria meyerana,1248
Crotalaria micans,1503
Crotalaria microcarpa,1841
Crotalaria mitchellii,1311
Crotalaria monteiroi,1268
Crotalaria mysorensis,1293
Crotalaria nana,22412
Crotalaria natalitia,1255
Crotalaria nitens,2197
Crotalaria notonii,1248
Crotalaria novae-hollandiae,5430
Crotalaria obscura,3460
Crotalaria ochroleuca,1412
Crotalaria oocarpa,1386
Crotalaria orientalis,8427
Crotalaria orixensis,1249
Crotalaria pallida,3163
Crotalaria pallidicaulis,1249
Crotalaria paulina,27932
Crotalaria perrottetii,1274
Crotalaria phylicoides,1299
Crotalaria pilosa,2444
Crotalaria pisicarpa,1248
Crotalaria platysepala,1252
Crotalaria podocarpa,1340
Crotalaria polysperma,1282
Crotalaria prostrata,1721
Crotalaria pumila,2530
Crotalaria quinquefolia,1321
Crotalaria recta,1895
Crotalaria reptans,1665
Crotalaria retusa,1603
Crotalaria rhodesiae,1283
Crotalaria rogersii,1261
Crotalaria sagittalis,1314
Crotalaria saharae,1297
Crotalaria schinzii,1288
Crotalaria schlechteri,1313
Crotalaria senegalensis,3347
Crotalaria sessiliflora,1364
Crotalaria shirensis,1257
Crotalaria sparsifolia,1338
Crotalaria spartea,1256
Crotalaria sphaerocarpa,1400
Crotalaria spinosa,4363
Crotalaria steudneri,1274
Crotalaria stipularia,1249
Crotalaria stolzii,1261
Crotalaria subcapitata,1580
Crotalaria tetragona,1422
Crotalaria trichotoma,1400
Crotalaria trifoliastrum,1249
Crotalaria triquetra,1349
Crotalaria uncinella,1272
Crotalaria valetonii,1250
Crotalaria valida,1767
Crotalaria vallicola,1267
Crotalaria variegata,2673
Crotalaria vasculosa,1335
Crotalaria velutina,2118
Crotalaria verrucosa,2495
Crotalaria vestita,1597
Crotalaria virgulata,1309
Crotalaria vitellina,1290
Crotalaria xanthoclada,1256
Crudia amazonica,3444
Crudia aromatica,550
Crudia bracteata,455
Crudia oblonga,648
Crudia tomentosa,2235
Cryptosepalum maraviense,13
Cullen americanum,24039
Cullen corylifolium,22464
Cullen tomentosum,22768
Cyamopsis psoraloides,580
Cyamopsis serrata,3040
Cyamopsis tetragonoloba,600
Cyclolobium vecchii,5
Cyclopia buxifolia,679
Cyclopia dregeana,489
Cyclopia falcata,1065
Cyclopia galioides,478
Cyclopia genistoides,469
Cyclopia intermedia,5126
Cyclopia maculata,1949
Cyclopia meyeriana,514
Cyclopia montana,17456
Cyclopia plicata,1112
Cyclopia pubescens,3007
Cyclopia sessiliflora,573
Cylicodiscus gabunensis,53
Cymbosema roseum,654
Cynometra cauliflora,479
Cynometra hankei,217
Cynometra retusa,594
Cytisophyllum sessilifolium,12
Cytisus arboreus,679
Cytisus austriacus,460
Cytisus balansae,659
Cytisus borysthenicus,384
Cytisus decumbens,1223
Cytisus hirsutus,808
Cytisus multiflorus,474
Cytisus proliferus,426
Cytisus purpureus,1757
Cytisus ruthenicus,388
Cytisus scoparius,528
Cytisus striatus,1635
Cytisus supranubius,382
Cytisus villosus,1087
Dahlstedtia pinnata,2342
Dalbergia arbutifolia,1623
Dalbergia armata,2106
Dalbergia assamica,1775
Dalbergia balansae,1843
Dalbergia baronii,1586
Dalbergia benthamii,1759
Dalbergia boehmii,1573
Dalbergia brasiliensis,9639
Dalbergia candenatensis,1560
Dalbergia chapelieri,1578
Dalbergia cultrata,1573
Dalbergia decipularis,1560
Dalbergia dyeriana,1576
Dalbergia ecastaphyllum,1560
Dalbergia fischeri,3047
Dalbergia frutescens,3512
Dalbergia glaucescens,2006
Dalbergia hainanensis,1973
Dalbergia hancei,1594
Dalbergia horrida,1734
Dalbergia hortensis,2253
Dalbergia hupeana,1560
Dalbergia inundata,1616
Dalbergia lactea,1873
Dalbergia lanceolaria,1579
Dalbergia latifolia,4114
Dalbergia louvelii,1579
Dalbergia madagascariensis,2485
Dalbergia maritima,5752
Dalbergia martinii,1739
Dalbergia melanoxylon,1820
Dalbergia millettii,1563
Dalbergia miscolobium,1560
Dalbergia monetaria,2390
Dalbergia monticola,2318
Dalbergia nigra,11686
Dalbergia nitidula,1627
Dalbergia obovata,2192
Dalbergia obtusifolia,2141
Dalbergia odorifera,1663
Dalbergia oligophylla,1574
Dalbergia oliveri,4712
Dalbergia ovata,2919
Dalbergia pinnata,3871
Dalbergia purpurascens,1970
Dalbergia retusa,1960
Dalbergia riedelii,1580
Dalbergia riparia,2311
Dalbergia sericea,2386
Dalbergia sissoo,1588
Dalbergia spruceana,1612
Dalbergia stipulacea,1754
Dalbergia subcymosa,1561
Dalbergia trichocarpa,2242
Dalbergia tsoi,4978
Dalbergia villosa,2817
Dalea albiflora,475
Dalea aurea,4369
Dalea candida,45899
Dalea cliffortiana,217
Dalea compacta,1579
Dalea erythrorhiza,223
Dalea flavescens,2051
Dalea formosa,4761
Dalea frutescens,2170
Dalea leporina,342
Dalea lumholtzii,223
Dalea lutea,2810
Dalea mollis,1267
Dalea mollissima,845
Dalea multiflora,1411
Dalea phleoides,229
Dalea pogonathera,215
Dalea polygonoides,289
Dalea purpurea,3730
Dalea scandens,898
Dalea tenuis,1702
Dalea tomentosa,2413
Dalea villosa,1469
Dalea virgata,729
Dalea wrightii,574
Dalhousiea africana,7054
Daniellia alsteeniana,89
Daniellia oliveri,3198
Daniellia thurifera,226
Daviesia acicularis,144
Daviesia benthamii,237
Daviesia brevifolia,319
Daviesia buxifolia,265
Daviesia cordata,1574
Daviesia corymbosa,466
Daviesia decurrens,272
Daviesia flexuosa,909
Daviesia genistifolia,51
Daviesia hakeoides,39
Daviesia horrida,213
Daviesia leptophylla,130
Daviesia nudiflora,229
Daviesia pectinata,624
Daviesia teretifolia,65
Daviesia ulicifolia,40
Daviesia umbellulata,112
Decorsea schlechteri,67
Deguelia scandens,722
Delonix elata,1396
Dendrolobium dispermum,9
Dendrolobium triangulare,190
Dendrolobium umbellatum,173
Derris elliptica,1287
Derris marginata,1948
Derris microphylla,1279
Derris philippinensis,1024
Derris robusta,3717
Derris scandens,1217
Derris trifoliata,1294
Desmanthus illinoensis,253
Desmanthus leptolobus,98
Desmanthus velutinus,184
Desmanthus virgatus,310
Desmodiastrum belgaumense,1
Desmodium affine,19831
Desmodium axillare,843
Desmodium barbatum,840
Desmodium batocaulon,726
Desmodium brownii,930
Desmodium cajanifolium,723
Desmodium campylocaulon,723
Desmodium canadense,1035
Desmodium canescens,1761
Desmodium ciliare,837
Desmodium cinereum,994
Desmodium concinnum,756
Desmodium confertum,746
Desmodium cuneatum,783
Desmodium cuspidatum,1140
Desmodium dichotomum,759
Desmodium discolor,1532
Desmodium distortum,740
Desmodium dregeanum,728
Desmodium elegans,31240
Desmodium filiforme,917
Desmodium flagellare,734
Desmodium gangeticum,740
Desmodium glabrum,936
Desmodium glutinosum,783
Desmodium grahamii,803
Desmodium grandiflorum,2221
Desmodium heterocarpon,723
Desmodium heterophyllum,941
Desmodium hirtum,1064
Desmodium hookerianum,769
Desmodium illinoense,724
Desmodium infractum,725
Desmodium intortum,726
Desmodium jucundum,748
Desmodium laevigatum,836
Desmodium laxiflorum,746
Desmodium leiocarpum,733
Desmodium macrocarpum,867
Desmodium marilandicum,724
Desmodium microphyllum,970
Desmodium molliculum,723
Desmodium muelleri,1546
Desmodium multiflorum,2249
Desmodium nemorosum,730
Desmodium neomexicanum,728
Desmodium nicaraguense,745
Desmodium nudiflorum,755
Desmodium oojeinense,723
Desmodium paniculatum,1147
Desmodium pauciflorum,819
Desmodium procumbens,1900
Desmodium renifolium,723
Desmodium retinens,728
Desmodium rhytidophyllum,740
Desmodium rotundifolium,829
Desmodium rubrum,4837
Desmodium sandwicense,751
Desmodium scorpiurus,736
Desmodium sequax,753
Desmodium sessilifolium,734
Desmodium setigerum,789
Desmodium styracifolium,723
Desmodium tanganyikense,723
Desmodium tortuosum,861
Desmodium trichocaulon,724
Desmodium trichostachyum,723
Desmodium triflorum,759
Desmodium uncinatum,882
Desmodium varians,1152
Desmodium viridiflorum,746
Desmodium zonatum,763
Dewevrea bilabiata,16
Dialium englerianum,218
Dialium guianense,253
Dialium pachyphyllum,224
Dialium schlechteri,275
Dialium zenkeri,326
Dicerma biarticulatum,1
Dichilus lebeckioides,3
Dichilus pilosus,321
Dichilus strictus,157
Dichrostachys spicata,1266
Dicorynia guianensis,1288
Dicorynia paraensis,170
Dicymbe altsonii,28
Didelotia africana,7073
Dillwynia brunioides,20
Dillwynia cinerascens,231
Dillwynia divaricata,772
Dillwynia floribunda,797
Dillwynia glaberrima,470
Dillwynia hispida,1351
Dillwynia juniperina,39
Dillwynia ramosissima,393
Dillwynia retorta,84
Dillwynia uncinata,312
Dimorphandra campinarum,144
Dimorphandra caudata,1387
Dimorphandra coccinea,964
Dimorphandra conjugata,185
Dimorphandra davisii,175
Dimorphandra exaltata,328
Dimorphandra jorgei,144
Dimorphandra macrostachya,238
Dimorphandra mollis,1137
Dimorphandra parviflora,1350
Dimorphandra vernicosa,171
Dimorphandra wilsonii,337
Dinizia excelsa,1320
Dioclea bicolor,6683
Dioclea glabra,2674
Dioclea guianensis,1480
Dioclea macrocarpa,1329
Dioclea malacocarpa,210
Dioclea sericea,1039
Dioclea violacea,950
Dioclea virgata,707
Diphysa americana,31793
Diphysa carthagenensis,72
Diplotropis brasiliensis,8110
Diplotropis incexis,24
Diplotropis purpurea,3562
Diplotropis triloba,353
Dipogon lignosus,224
Dipteryx magnifica,865
Dipteryx odorata,2316
Dipteryx punctata,2428
Diptychandra aurantiaca,732
Discolobium leptophyllum,62
Distemonanthus benthamianus,51
Dolichopsis paraguariensis,892
Dolichos angustifolius,1472
Dolichos falciformis,799
Dolichos junghuhnianus,616
Dolichos kilimandscharicus,620
Dolichos linearis,1536
Dolichos oliveri,3787
Dolichos sericeus,832
Dolichos trilobus,675
Dolichos trinervatus,616
Dorycnium hirsutum,4339
Dorycnium pentaphyllum,471
Dorycnium rectum,28746
Dorycnium strictum,266
Droogmansia pteropus,784
Dumasia truncata,409
Dumasia villosa,1339
Dunbaria circinalis,133
Dunbaria nivea,1169
Dunbaria villosa,1268
Duparquetia orchidacea,26
Dussia martinicensis,69
Dysolobium apioides,4
Ebenopsis confinis,89
Ebenus pinnata,2386
Ebenus stellata,525
Elephantorrhiza burkei,86
Elephantorrhiza goetzei,88
Elephantorrhiza suffruticosa,507
Elizabetha bicolor,6620
Elizabetha coccinea,965
Elizabetha durissima,163
Elizabetha paraensis,291
Elizabetha princeps,1522
Elizabetha speciosa,2450
Eminia antennulifera,11
Entada abyssinica,1281
Entada arenaria,1527
Entada chrysostachys,238
Entada phaseoloides,322
Entada polystachya,631
Enterolobium contortisiliquum,308
Enterolobium cyclocarpum,309
Enterolobium ellipticum,388
Enterolobium gummiferum,339
Enterolobium maximum,104571
Enterolobium monjollo,307
Enterolobium schomburgkii,365
Eperua bijuga,142
Eperua duckeana,70
Eperua falcata,655
Eperua glabriflora,70
Eperua grandiflora,1908
Eperua rubiginosa,282
Eremosparton songoricum,24
Erichsenia uncinata,301
Eriosema affine,19213
Eriosema buchananii,202
Eriosema burkei,137
Eriosema chrysadenium,104
Eriosema cordatum,328
Eriosema crinitum,161
Eriosema ellipticifolium,106
Eriosema ellipticum,186
Eriosema englerianum,111
Eriosema heterophyllum,324
Eriosema jurionianum,104
Eriosema kraussianum,105
Eriosema lebrunii,129
Eriosema macrostipulum,104
Eriosema montanum,525
Eriosema nutans,1043
Eriosema pauciflorum,198
Eriosema pumilum,282
Eriosema ramosum,232
Eriosema rhodesicum,105
Eriosema rhynchosioides,105
Eriosema rufum,201
Eriosema salignum,110
Eriosema shirense,105
Eriosema simplicifolium,123
Eriosema squarrosum,208
Eriosema violaceum,1245
Erythrina abyssinica,2782
Erythrina americana,33497
Erythrina arborescens,2715
Erythrina barqueroana,1762
Erythrina berteroana,1795
Erythrina brucei,8827
Erythrina cochleata,1803
Erythrina corallodendron,1764
Erythrina costaricensis,2270
Erythrina crista-galli,23129
Erythrina edulis,9499
Erythrina excelsa,3069
Erythrina falcata,2360
Erythrina folkersii,1762
Erythrina fusca,3764
Erythrina herbacea,2221
Erythrina hondurensis,1948
Erythrina horrida,1938
Erythrina humeana,1782
Erythrina lanata,3147
Erythrina lanceolata,3874
Erythrina latissima,2085
Erythrina livingstoniana,1764
Erythrina lysistemon,1764
Erythrina mitis,2845
Erythrina pallida,3731
Erythrina poeppigiana,1784
Erythrina rubrinervia,1763
Erythrina sandwicensis,1799
Erythrina speciosa,4036
Erythrina stricta,2547
Erythrina suberosa,1915
Erythrina subumbrans,1764
Erythrina variegata,3046
Erythrina velutina,2503
Erythrina verna,5470
Erythrina vespertilio,1924
Erythrina zeyheri,1849
Erythrophleum africanum,763
Erythrophleum lasianthum,207
Etaballia dubia,1413
Euchilopsis linearis,920
Euchresta japonica,48401
Eutaxia densifolia,35
Eutaxia microphylla,701
Eutaxia obovata,640
Eutaxia virgata,521
Exostyles venusta,273
Fagelia bituminosa,92
Faidherbia albida,478
Falcataria moluccana,545
Flemingia chappar,207
Flemingia grahamiana,205
Flemingia lineata,733
Flemingia macrophylla,1984
Flemingia procumbens,1377
Flemingia strobilifera,211
Galactia canescens,1088
Galactia crassifolia,606
Galactia dubia,1460
Galactia jussiaeana,49
Galactia latisiliqua,61
Galactia megalophylla,92
Galactia neesii,82
Galactia regularis,391
Galactia rubra,4013
Galactia spiciformis,104
Galactia striata,2388
Galactia tenuiflora,334
Galega officinalis,12809
Galega orientalis,9733
Gastrolobium bilobum,37
Gastrolobium crassifolium,136
Gastrolobium parviflorum,156
Gastrolobium spinosum,515
Gastrolobium trilobum,89
Gastrolobium velutinum,132
Gastrolobium villosum,432
Geissaspis cristata,952
Genista anglica,1399
Genista canariensis,958
Genista cinerea,6567
Genista falcata,945
Genista ferox,1012
Genista florida,69018
Genista germanica,5551
Genista hispanica,3335
Genista linifolia,375
Genista microcephala,430
Genista monspessulana,350
Genista numidica,381
Genista pilosa,1526
Genista radiata,7663
Genista sagittalis,398
Genista stenopetala,558
Genista tenera,697
Genista tinctoria,1348
Genista tricuspidata,716
Gilbertiodendron mayombense,66
Gleditsia amorphoides,416
Gleditsia australis,7584
Gleditsia fera,2215
Gleditsia japonica,48741
Gleditsia macracantha,476
Gleditsia triacanthos,419
Gliricidia sepium,757
Glycine canescens,31557
Glycine clandestina,30787
Glycine falcata,31148
Glycine max,217962
Glycine microphylla,31225
Glycine tabacina,30691
Glycine tomentella,30683
Glycyrrhiza acanthocarpa,2029
Glycyrrhiza echinata,2538
Glycyrrhiza glabra,3536
Glycyrrhiza korshinskyi,2033
Glycyrrhiza lepidota,2088
Glycyrrhiza pallidiflora,2046
Glycyrrhiza uralensis,2172
Gompholobium confertum,36
Gompholobium grandiflorum,1511
Gompholobium huegelii,41
Gompholobium knightianum,13
Gompholobium latifolium,626
Gompholobium marginatum,470
Gompholobium minus,5536
Gompholobium pinnatum,379
Gompholobium polymorphum,106
Gompholobium scabrum,205
Gompholobium subulatum,146
Gompholobium tomentosum,318
Gompholobium venustum,81
Gompholobium virgatum,670
Goniorrhachis marginata,1364
Goodia lotifolia,3
Gossweilerodendron balsamiferum,9
Gueldenstaedtia stenophylla,186
Gueldenstaedtia verna,3729
Guibourtia chodatiana,73
Guibourtia coleosperma,73
Guibourtia conjugata,113
Gymnocladus chinensis,9927
Gymnocladus dioica,1905
Haematoxylum campechianum,50
Halimodendron halodendron,47
Hardenbergia comptoniana,20
Hardenbergia violacea,768
Harleyodendron unifoliolatum,15
Harpalyce cubensis,677
Harpalyce macrocarpa,1156
Havardia albicans,19872
Havardia mexicana,37226
Havardia pallens,630
Hebestigma cubense,534
Hedysarum aculeolatum,447
Hedysarum alpinum,730
Hedysarum boreale,736
Hedysarum carnosum,508
Hedysarum caucasicum,546
Hedysarum coronarium,743
Hedysarum ferganense,450
Hedysarum flexuosum,528
Hedysarum fruticosum,547
Hedysarum hedysaroides,452
Hedysarum iomuticum,447
Hedysarum naudinianum,447
Hedysarum occidentale,7152
Hedysarum pallidum,3373
Hedysarum polybotrys,448
Hedysarum spinosissimum,454
Hedysarum vicioides,450
Hesperolaburnum platycarpum,136
Heterostemon ellipticus,156
Heterostemon mimosoides,515
Hippocrepis areolata,89
Hippocrepis comosa,132
Hippocrepis emerus,432
Hippocrepis minor,952
Hippocrepis multisiliquosa,1399
Hippocrepis unisiliquosa,958
Hoffmannseggia glauca,6567
Hoffmannseggia microphylla,945
Hoita macrostachya,1012
Hoita orbicularis,69018
Hovea acutifolia,5551
Hovea elliptica,3335
Hovea linearis,375
Hovea longifolia,430
Hovea pungens,350
Hovea trisperma,381
Humboldtia laurifolia,1526
Humularia welwitschii,7663
Hydrochorea corymbosa,398
Hydrochorea gonggrijpii,558
Hydrochorea marginata,697
Hylodendron gabunense,1348
Hylodesmum podocarpum,716
Hylodesmum repandum,66
Hymenaea aurea,416
Hymenaea courbaril,7584
Hymenaea eriogyne,2215
Hymenaea intermedia,48741
Hymenaea martiana,476
Hymenaea parvifolia,419
Hymenaea reticulata,757
Hymenaea rubriflora,31557
Hymenaea stigonocarpa,30787
Hymenaea verrucosa,31148
Hymenocarpos circinnatus,217962
Hymenolobium alagoanum,31225
Hymenolobium excelsum,30691
Hymenolobium flavum,30683
Hymenolobium heterocarpum,2029
Hymenolobium janeirense,2538
Hymenolobium modestum,3536
Hymenolobium nitidum,2033
Hymenolobium petraeum,2088
Hymenolobium sericeum,2046
Hymenostegia afzelii,2172
Hypocalyptus coluteoides,36
Hypocalyptus oxalidifolius,1511
Hypocalyptus sophoroides,41
Indigastrum argyroides,13
Indigastrum burkeanum,626
Indigastrum costatum,470
Indigastrum parviflorum,5536
Indigofera adenocarpa,379
Indigofera adenoides,106
Indigofera alopecuroides,205
Indigofera alpina,146
Indigofera alternans,318
Indigofera amblyantha,81
Indigofera angustata,670
Indigofera angustifolia,1364
Indigofera antunesiana,3
Indigofera arenophila,9
Indigofera argentea,186
Indigofera arrecta,3729
Indigofera asperifolia,73
Indigofera astragalina,73
Indigofera atropurpurea,113
