Phy,Counts
Indigofera auricoma,9927
Indigofera australis,1905
Indigofera bainesii,50
Indigofera brachynema,47
Indigofera brachystachya,20
Indigofera brevidens,768
Indigofera bungeana,15
Indigofera burchellii,677
Indigofera candicans,1156
Indigofera capillaris,19872
Indigofera caroliniana,37226
Indigofera cassioides,630
Indigofera cecilii,534
Indigofera chuniana,447
Indigofera circinella,730
Indigofera circinnata,736
Indigofera comosa,508
Indigofera confusa,546
Indigofera cordifolia,743
Indigofera cryptantha,450
Indigofera cuneata,528
Indigofera cuneifolia,547
Indigofera cylindracea,452
Indigofera cylindrica,447
Indigofera cytisoides,447
Indigofera daleoides,7152
Indigofera decora,3373
Indigofera delagoaensis,448
Indigofera demissa,454
Indigofera denudata,450
Indigofera digitata,2227
Indigofera dimidiata,1460
Indigofera dosua,1082
Indigofera dregeana,1121
Indigofera dyeri,1106
Indigofera egens,1097
Indigofera emarginella,1087
Indigofera eriocarpa,1126
Indigofera erythrogramma,1154
Indigofera evansiana,1110
Indigofera eylesiana,1082
Indigofera fanshawei,1090
Indigofera filicaulis,1107
Indigofera filifolia,1162
Indigofera filiformis,1656
Indigofera filipes,1137
Indigofera flabellata,1187
Indigofera flavicans,1241
Indigofera foliosa,1268
Indigofera fortunei,1925
Indigofera frutescens,3040
Indigofera fulvopilosa,1082
Indigofera gairdnerae,1082
Indigofera galegoides,1083
Indigofera garckeana,1124
Indigofera glandulosa,1598
Indigofera glaucescens,1529
Indigofera glomerata,2892
Indigofera griseoides,1082
Indigofera hamiltonii,1313
Indigofera hebepetala,1082
Indigofera hedyantha,1082
Indigofera hendecaphylla,1082
Indigofera heterophylla,1997
Indigofera heterotricha,1114
Indigofera hewittii,1083
Indigofera hilaris,1590
Indigofera himalayensis,1230
Indigofera hirsuta,2105
Indigofera hispida,2422
Indigofera holubii,1082
Indigofera humifusa,1250
Indigofera incana,1788
Indigofera ingrata,1096
Indigofera inhambanensis,1086
Indigofera kirilowii,1297
Indigofera langebergensis,1083
Indigofera lespedezioides,1082
Indigofera linifolia,1125
Indigofera litoralis,1606
Indigofera livingstoniana,1088
Indigofera longibarbata,1084
Indigofera lupatana,1082
Indigofera lyallii,1137
Indigofera maritima,5284
Indigofera mauritanica,1240
Indigofera melanadenia,1083
Indigofera meyeriana,1145
Indigofera microcarpa,1671
Indigofera mimosoides,1138
Indigofera miniata,1316
Indigofera mollicoma,1089
Indigofera monantha,1111
Indigofera nigromontana,1082
Indigofera nummulariifolia,1087
Indigofera oblongifolia,1349
Indigofera ormocarpoides,1083
Indigofera ovata,2443
Indigofera oxalidea,1083
Indigofera oxytropis,1481
Indigofera podophylla,1103
Indigofera poliotes,1082
Indigofera pongolana,1082
Indigofera porrecta,1114
Indigofera pratensis,2365
Indigofera praticola,1140
Indigofera procumbens,2259
Indigofera prostrata,1556
Indigofera pseudotinctoria,1082
Indigofera psoraloides,1085
Indigofera pulchra,1721
Indigofera rautanenii,1111
Indigofera reducta,1168
Indigofera reticulata,4985
Indigofera rhynchocarpa,1090
Indigofera rhytidocarpa,1089
Indigofera ripae,1104
Indigofera rostrata,2154
Indigofera sanguinea,1724
Indigofera schimperi,1241
Indigofera schinzii,1122
Indigofera senegalensis,3183
Indigofera sessiliflora,1203
Indigofera sessilifolia,1216
Indigofera setiflora,1085
Indigofera sordida,1421
Indigofera sphaerocarpa,1235
Indigofera spicata,2194
Indigofera stenophylla,1250
Indigofera stricta,1885
Indigofera strobilifera,1103
Indigofera subcorymbosa,1084
Indigofera subulifera,1087
Indigofera suffruticosa,1489
Indigofera sulcata,1600
Indigofera swaziensis,1087
Indigofera tenuis,2568
Indigofera tenuissima,1396
Indigofera tinctoria,2002
Indigofera tomentosa,3279
Indigofera torulosa,1203
Indigofera tristis,1802
Indigofera tristoides,1082
Indigofera velutina,1952
Indigofera vicioides,1084
Indigofera viscidissima,1082
Indigofera wildiana,1093
Indigofera williamsonii,1093
Indigofera woodii,1294
Indigofera zeyheri,1172
Indigofera zollingeriana,1098
Indopiptadenia oudhensis,11
Inga acreana,22114
Inga acrocephala,22064
Inga acuminata,25109
Inga alba,67629
Inga altissima,23093
Inga bahiensis,22233
Inga blanchetiana,22121
Inga brachystachya,22094
Inga calantha,22081
Inga capitata,25284
Inga cayennensis,22195
Inga chocoensis,22112
Inga cinnamomea,22557
Inga codonantha,22064
Inga cordatoalata,22063
Inga cordistipula,22066
Inga densiflora,23069
Inga disticha,22267
Inga duckei,22165
Inga edulis,29753
Inga fanchoniana,22063
Inga fastuosa,22113
Inga graciliflora,22095
Inga gracilifolia,22065
Inga hayesii,22071
Inga heterophylla,22976
Inga hispida,23402
Inga huberi,22153
Inga ingoides,22063
Inga jinicuil,22066
Inga lateriflora,22154
Inga laurina,22315
Inga leiocalycina,22067
Inga lentiscifolia,22066
Inga longiflora,22312
Inga luschnathiana,22074
Inga macrophylla,23898
Inga maritima,26264
Inga microcalyx,22083
Inga mortoniana,22070
Inga nobilis,24296
Inga nuda,22609
Inga obidensis,22069
Inga oerstediana,22091
Inga panurensis,22084
Inga paraensis,22207
Inga paterno,23872
Inga pavoniana,22065
Inga pezizifera,22063
Inga pilosula,22323
Inga punctata,24122
Inga rubiginosa,22291
Inga sertulifera,22063
Inga sessilis,22329
Inga spectabilis,23143
Inga splendens,23562
Inga stipularis,22127
Inga thibaudiana,22063
Inga tonduzii,22087
Inga umbellifera,22086
Inga uraguensis,22063
Inga velutina,22931
Inga vera,139838
Inga vulpina,22137
Inocarpus fagifer,26
Intsia palembanica,88
Isoberlinia angolensis,550
Isotropis atropurpurea,266
Isotropis cuneifolia,164
Isotropis juncea,3828
Jacksonia capitata,3240
Jacksonia dilatata,240
Jacksonia floribunda,803
Jacksonia furcellata,82
Jacksonia hakeoides,19
Jacksonia horrida,193
Jacksonia scoparia,813
Jacksonia sericea,848
Jacksonia spinosa,3135
Jacksonia sternbergiana,22
Julbernardia globiflora,45
Julbernardia paniculata,2723
Kebirita roudairei,0
Kennedia beckxiana,16
Kennedia carinata,887
Kennedia coccinea,833
Kennedia eximia,174
Kennedia glabrata,3710
Kennedia nigricans,2197
Kennedia prorepens,21
Kennedia prostrata,486
Kennedia rubicunda,109
Kennedia stirlingii,18
Koompassia malaccensis,481
Kotschya capitulifera,21
Kotschya scaberrima,42
Kotschya speciosa,2325
Kotschya strigosa,329
Kotschya strobilantha,21
Kotschya thymodora,19
Kummerowia stipulacea,229
Kummerowia striata,2366
Lablab purpureus,1714
Laburnum alpinum,424
Laburnum anagyroides,149
Lamprolobium fruticosum,108
Lathyrus angulatus,1776
Lathyrus annuus,5525
Lathyrus aphaca,1472
Lathyrus brachycalyx,1489
Lathyrus cicera,1923
Lathyrus clymenum,1471
Lathyrus davidii,1802
Lathyrus emodi,1983
Lathyrus eucosmus,1474
Lathyrus graminifolius,1485
Lathyrus hirsutus,1898
Lathyrus humilis,2406
Lathyrus inconspicuus,1488
Lathyrus japonicus,9662
Lathyrus jepsonii,1479
Lathyrus komarovii,1586
Lathyrus lanszwertii,1471
Lathyrus latifolius,1620
Lathyrus leptophyllus,1482
Lathyrus linifolius,1479
Lathyrus littoralis,3955
Lathyrus magellanicus,2123
Lathyrus marmoratus,2533
Lathyrus nevadensis,1663
Lathyrus niger,30345
Lathyrus nissolia,1481
Lathyrus numidicus,1513
Lathyrus ochroleucus,1487
Lathyrus ochrus,1473
Lathyrus odoratus,1630
Lathyrus palustris,4116
Lathyrus pisiformis,1629
Lathyrus polymorphus,1667
Lathyrus pratensis,2732
Lathyrus pseudocicera,1471
Lathyrus pusillus,2221
Lathyrus sativus,8447
Lathyrus sphaericus,2561
Lathyrus sylvestris,6959
Lathyrus tingitanus,1485
Lathyrus tuberosus,2475
Lathyrus venosus,2912
Lathyrus vernus,1642
Latrobea hirtella,158
Lebeckia ambigua,646
Lebeckia cinerea,6266
Lebeckia cytisoides,53
Lebeckia gracilis,6768
Lebeckia halenbergensis,26
Lebeckia linearifolia,100
Lebeckia meyeriana,88
Lebeckia multiflora,1222
Lebeckia pauciflora,320
Lebeckia plukenetiana,25
Lebeckia pungens,524
Lebeckia sepiaria,76
Lebeckia sericea,857
Lebeckia simsiana,27
Lebeckia spinescens,82
Lebeckia wrightii,383
Lecointea amazonica,3421
Lens culinaris,96100
Lens ervoides,96084
Lens nigricans,98261
Leptoderris nobilis,2248
Leptosema chambersii,5
Lespedeza angustifolia,4228
Lespedeza bicolor,7050
Lespedeza buergeri,679
Lespedeza capitata,3832
Lespedeza caraganae,646
Lespedeza chinensis,10484
Lespedeza cyrtobotrya,627
Lespedeza davidii,955
Lespedeza floribunda,1409
Lespedeza hirta,1455
Lespedeza homoloba,626
Lespedeza inschanica,627
Lespedeza intermedia,5343
Lespedeza japonica,48992
Lespedeza juncea,4434
Lespedeza leptostachya,684
Lespedeza maximowiczii,795
Lespedeza melanantha,628
Lespedeza pilosa,1822
Lespedeza procumbens,1802
Lespedeza pubescens,3185
Lespedeza repens,4075
Lespedeza stuevei,626
Lespedeza thunbergii,1594
Lespedeza tomentosa,2821
Lespedeza violacea,1385
Lespedeza virgata,1134
Lespedeza virginica,2566
Lessertia affinis,2797
Lessertia annularis,474
Lessertia benguellensis,43
Lessertia brachypus,82
Lessertia brachystachya,68
Lessertia capitata,3260
Lessertia depressa,443
Lessertia diffusa,1201
Lessertia emarginata,629
Lessertia excisa,92
Lessertia falciformis,220
Lessertia harveyana,62
Lessertia herbacea,504
Lessertia incana,743
Lessertia inflata,557
Lessertia macrostachya,135
Lessertia pauciflora,333
Lessertia perennans,81
Lessertia rigida,964
Lessertia spinescens,94
Lessertia stenoloba,63
Lessertia stricta,840
Lessertia thodei,39
Lessertia tomentosa,2235
Leucaena collinsii,1946
Leucaena cuspidata,2491
Leucaena diversifolia,2736
Leucaena esculenta,7302
Leucaena greggii,2043
Leucaena involucrata,2315
Leucaena lanceolata,4024
Leucaena lempirana,1913
Leucaena leucocephala,2130
Leucaena macrophylla,3742
Leucaena magnifica,2409
Leucaena multicapitula,1913
Leucaena pulverulenta,2008
Leucaena retusa,2322
Leucaena salvadorensis,1945
Leucaena shannonii,1914
Leucaena trichandra,1919
Leucaena trichodes,1944
Leucomphalos callicarpus,2
Leucomphalos capparideus,3
Liparia parva,2292
Liparia splendens,1508
Loesenera talbotii,50
Lonchocarpus atropurpureus,473
Lonchocarpus bussei,903
Lonchocarpus campestris,5225
Lonchocarpus capassa,400
Lonchocarpus constrictus,480
Lonchocarpus domingensis,728
Lonchocarpus eriocalyx,474
Lonchocarpus eriocarinalis,400
Lonchocarpus filipes,454
Lonchocarpus guatemalensis,631
Lonchocarpus guillemineanus,400
Lonchocarpus heptaphyllus,440
Lonchocarpus macrocarpus,517
Lonchocarpus macrophyllus,618
Lonchocarpus muehlbergianus,401
Lonchocarpus nelsii,401
Lonchocarpus nitidus,918
Lonchocarpus punctatus,3603
Lonchocarpus sericeus,590
Lonchocarpus violaceus,894
Lonchocarpus virgilioides,473
Lophocarpinia aculeatifolia,3
Lotononis adpressa,122
Lotononis angolensis,585
Lotononis arenicola,691
Lotononis azurea,288
Lotononis bainesii,82
Lotononis benthamiana,1893
Lotononis bolusii,81
Lotononis brachyantha,108
Lotononis calycina,210
Lotononis carinata,943
Lotononis corymbosa,500
Lotononis crumanina,72
Lotononis cytisoides,100
Lotononis delicata,309
Lotononis depressa,478
Lotononis digitata,1216
Lotononis divaricata,832
Lotononis eriantha,251
Lotononis falcata,686
Lotononis foliosa,258
Lotononis fruticoides,72
Lotononis hirsuta,1109
Lotononis involucrata,473
Lotononis laxa,1109
Lotononis lenticula,94
Lotononis leptoloba,79
Lotononis listii,74
Lotononis longiflora,321
Lotononis lotononoides,74
Lotononis macrocarpa,1194
Lotononis macrosepala,87
Lotononis marlothii,100
Lotononis maximiliani,197
Lotononis minima,4802
Lotononis mucronata,785
Lotononis oxyptera,72
Lotononis parviflora,1280
Lotononis pentaphylla,287
Lotononis platycarpa,139
Lotononis polycephala,102
Lotononis prostrata,546
Lotononis pulchella,657
Lotononis pulchra,714
Lotononis quinata,183
Lotononis rabenaviana,72
Lotononis serpentinicola,80
Lotononis solitudinis,83
Lotononis strigillosa,94
Lotononis tenella,1855
Lotononis wilmsii,86
Lotus alpinus,10092
Lotus angustissimus,8646
Lotus arabicus,8855
Lotus arenarius,8798
Lotus australis,15822
Lotus bollei,8645
Lotus conimbricensis,8654
Lotus conjugatus,8654
Lotus corniculatus,8694
Lotus coronillaefolius,8640
Lotus cruentus,9065
Lotus cytisoides,8665
Lotus discolor,9449
Lotus edulis,16400
Lotus glaber,9061
Lotus glinoides,8640
Lotus halophilus,9055
Lotus hirtulus,8642
Lotus hispidus,9353
Lotus longesiliquosus,8640
Lotus maroccanus,8720
Lotus namulensis,8640
Lotus ornithopodioides,8648
Lotus palaestinus,8653
Lotus parviflorus,8744
Lotus peczoricus,8640
Lotus pedunculatus,8684
Lotus peregrinus,9572
Lotus purpureus,10023
Lotus schoelleri,8642
Lotus sessilifolius,8659
Lotus subbiflorus,8640
Lotus tenuis,10043
Lotus ucrainicus,8641
Lotus weilleri,8640
Lotus wildii,8654
Luetzelburgia auriculata,661
Luetzelburgia bahiensis,205
Lupinus affinis,5841
Lupinus albicaulis,3173
Lupinus albifrons,3550
Lupinus albus,6420
Lupinus ananeanus,3082
Lupinus angustiflorus,3083
Lupinus angustifolius,3258
Lupinus arboreus,3349
Lupinus arbustus,3084
Lupinus arcticus,3538
Lupinus argenteus,3620
Lupinus aridus,3103
Lupinus arizonicus,3103
Lupinus atlanticus,3677
Lupinus benthamii,3282
Lupinus bicolor,9555
Lupinus breweri,3182
Lupinus caespitosus,3139
Lupinus campestris,7902
Lupinus chamissonis,3160
Lupinus concinnus,3191
Lupinus confertus,3150
Lupinus cosentinii,3082
Lupinus cumulicola,3090
Lupinus densiflorus,3147
Lupinus diffusus,3105
Lupinus digitatus,3136
Lupinus elegans,33592
Lupinus exaltatus,3104
Lupinus flavoculatus,3082
Lupinus formosus,3420
Lupinus fulcratus,3083
Lupinus gibertianus,3082
Lupinus grayi,3309
Lupinus hartwegii,3169
Lupinus havardii,3098
Lupinus hirsutissimus,3088
Lupinus hispanicus,3273
Lupinus kingii,3218
Lupinus latifolius,3251
Lupinus lepidus,3380
Lupinus leucophyllus,3088
Lupinus luteus,4252
Lupinus lyallii,3138
Lupinus meionanthus,3082
Lupinus meridanus,3090
Lupinus mexicanus,4222
Lupinus microcarpus,3182
Lupinus montanus,4278
Lupinus multiflorus,3193
Lupinus mutabilis,3514
Lupinus nanus,4011
Lupinus nootkatensis,3155
Lupinus ornatus,3950
Lupinus palaestinus,3092
Lupinus perennis,3581
Lupinus pilosus,3383
Lupinus polycarpus,3125
Lupinus polyphyllus,3110
Lupinus princei,3092
Lupinus pubescens,5636
Lupinus pusillus,3830
Lupinus rivularis,3358
Lupinus sellulus,3082
Lupinus sericeus,3287
Lupinus sparsiflorus,3109
Lupinus spectabilis,4167
Lupinus subcarnosus,3084
Lupinus succulentus,3084
Lupinus vallicola,3101
Lupinus villosus,3807
Lysiloma acapulcense,46
Lysiloma divaricatum,175
Lysiloma latisiliquum,46
Lysiloma watsonii,137
Lysiphyllum carronii,24
Lysiphyllum gilvum,62
Maackia amurensis,864
Maackia hupehensis,383
Machaerium aculeatum,378
Machaerium arboreum,746
Machaerium brasiliense,1354
Machaerium ferox,874
Machaerium firmum,230
Machaerium floribundum,341
Machaerium froesii,202
Machaerium hoehneanum,188
Machaerium incorruptibile,188
Machaerium inundatum,208
Machaerium isadelphum,188
Machaerium latifolium,800
Machaerium lunatum,276
Machaerium madeirense,209
Machaerium microphyllum,435
Machaerium milleflorum,188
Machaerium multifoliolatum,189
Machaerium myrianthum,220
Machaerium nyctitans,188
Machaerium obovatum,258
Machaerium opacum,289
Machaerium pedicellatum,275
Machaerium quinata,296
Machaerium salzmannii,275
Machaerium stipitatum,247
Machaerium triste,785
Machaerium villosum,586
Macrolobium acaciifolium,88
Macrolobium angustifolium,830
Macrolobium bifolium,118
Macrolobium campestre,391
Macrolobium huberianum,89
Macrolobium latifolium,697
Macrolobium limbatum,119
Macrolobium microcalyx,108
Macrolobium multijugum,105
Macrolobium pendulum,13418
Macrolobium punctatum,597
Macrolobium suaveolens,1062
Macroptilium atropurpureum,216
Macroptilium bracteatum,488
Macroptilium erythroloma,177
Macroptilium gibbosifolium,177
Macroptilium gracile,871
Macroptilium lathyroides,185
Macroptilium martii,322
Macroptilium panduratum,177
Macrosamanea discolor,821
Macrosamanea duckei,114
Macrosamanea pubiramea,13
Macrosamanea spruceana,70
Macrotyloma africanum,890
Macrotyloma axillare,401
Macrotyloma daltonii,327
Macrotyloma densiflorum,428
Macrotyloma geocarpum,316
Macrotyloma maranguense,318
Macrotyloma oliganthum,329
Macrotyloma rupestre,1281
Macrotyloma stipulosum,317
Macrotyloma tenuiflorum,598
Macrotyloma uniflorum,400
Maniltoa grandiflora,1887
Marina parryi,206570
Martiodendron elatum,133
Mastersia bakeri,525
Medicago arabica,14383
Medicago arborea,8608
Medicago blancheana,7154
Medicago brachycarpa,7222
Medicago cancellata,7248
Medicago carstiensis,7150
Medicago constricta,7471
Medicago coronata,7898
Medicago difalcata,7149
Medicago disciformis,7217
Medicago doliata,7154
Medicago edgeworthii,7185
Medicago falcata,7662
Medicago glomerata,8942
Medicago granadensis,7197
Medicago hemicoerulea,7149
Medicago heyniana,7149
Medicago hybrida,9191
Medicago hypogaea,11133
Medicago intertexta,7171
Medicago karatschaica,7149
Medicago laciniata,7390
Medicago littoralis,9617
Medicago lupulina,7215
Medicago marina,213610
Medicago medicaginoides,7149
Medicago meyeri,7429
Medicago minima,11861
Medicago monantha,7174
Medicago monspeliaca,7153
Medicago murex,7458
Medicago muricoleptis,7149
Medicago noeana,7152
Medicago orbicularis,8517
Medicago orthoceras,7182
Medicago papillosa,7407
Medicago phrygia,7523
Medicago polyceratia,7149
Medicago polymorpha,10029
Medicago praecox,8557
Medicago radiata,14484
Medicago rugosa,9317
Medicago ruthenica,7556
Medicago sativa,36583
Medicago sauvagei,7181
Medicago scutellata,7298
Medicago secundiflora,7222
Medicago soleirolii,7158
Medicago suffruticosa,7597
Medicago tenoreana,7155
Medicago tornata,7167
Medicago truncatula,7462
Medicago turbinata,7353
Medicago vardanis,7205
Melanoxylon brauna,351
Melilotus albus,4774
Melilotus altissimus,629
Melilotus dentatus,1136
Melilotus indicus,4574
Melilotus infestus,608
Melilotus italicus,1220
Melilotus macrocarpus,723
Melilotus messanensis,620
Melilotus neapolitanus,735
Melilotus officinalis,10701
Melilotus polonicus,634
Melilotus segetalis,675
Melilotus speciosus,1122
Melilotus suaveolens,1573
Melilotus sulcatus,891
Melilotus wolgicus,606
Melolobium adenodes,9
Melolobium aethiopicum,200
Melolobium alpinum,306
Melolobium calycinum,182
Melolobium candicans,200
Melolobium exudans,9
Melolobium humile,400
Melolobium microphyllum,255
Melolobium obcordatum,18
Microberlinia bisulcata,25
Microcharis angolensis,523
Microcharis galpinii,35
Microcharis latifolia,2620
Microlobius foetidus,247
Mildbraediodendron excelsum,100
Millettia dielsiana,582
Millettia dubia,1948
Millettia duchesnei,540
Millettia dura,4869
Millettia extensa,891
Millettia ferruginea,1485
Millettia glaucescens,984
Millettia grandis,7615
Millettia harmsiana,558
Millettia laurentii,909
Millettia macrophylla,2367
Millettia nitida,1445
Millettia stuhlmannii,607
Millettia thonningii,697
Millettia usaramensis,538
Mimosa aculeaticarpa,2234
Mimosa acutistipula,2234
Mimosa adenocarpa,2237
Mimosa affinis,4992
Mimosa albida,2703
Mimosa aparadensis,2236
Mimosa arenosa,2444
Mimosa artemisiana,2234
Mimosa bahamensis,2352
Mimosa benthamii,2432
Mimosa bimucronata,2237
Mimosa blanchetii,2267
Mimosa borealis,5188
Mimosa caesalpiniifolia,2234
Mimosa calodendron,2245
Mimosa campicola,2236
Mimosa camporum,2288
Mimosa casta,3081
Mimosa ceratonia,2789
Mimosa cordistipula,2238
Mimosa debilis,2506
Mimosa delicatula,2449
Mimosa depauperata,2271
Mimosa diplotricha,2240
Mimosa dormiens,2236
Mimosa dysocarpa,2234
Mimosa filipes,2289
Mimosa filipetiola,2234
Mimosa flagellaris,2282
Mimosa flocculosa,2284
Mimosa foliolosa,2276
Mimosa furfuracea,2444
Mimosa gemmulata,2239
Mimosa grahamii,2315
Mimosa guilandinae,2234
Mimosa hamata,2485
Mimosa hexandra,2408
Mimosa himalayana,2337
Mimosa hirsutissima,2287
Mimosa hondurana,2234
Mimosa hypoglauca,2273
Mimosa irrigua,2246
Mimosa lacerata,2296
Mimosa lactiflua,2242
Mimosa lanuginosa,2526
Mimosa latispinosa,2234
Mimosa lewisii,2311
Mimosa luisana,2478
Mimosa malacocarpa,2237
Mimosa melanocarpa,2795
Mimosa menabeensis,2239
Mimosa mensicola,2234
Mimosa mollis,3286
Mimosa monancistra,2234
Mimosa monticola,2998
Mimosa nuda,2779
Mimosa occidentalis,7077
Mimosa ophthalmocentra,2235
Mimosa orthocarpa,2236
Mimosa paludosa,2640
Mimosa pigra,2469
Mimosa polyantha,2413
Mimosa polycarpa,2421
Mimosa polydactyla,2347
Mimosa pseudosepiaria,2234
Mimosa pteridifolia,2240
Mimosa pudica,2347
Mimosa quadrivalvis,2252
Mimosa rhododactyla,2238
Mimosa rubicaulis,2235
Mimosa scabrella,2258
Mimosa schleidenii,2237
Mimosa sensibilis,2326
Mimosa sensitiva,2315
Mimosa setuligera,2235
Mimosa skinneri,2271
Mimosa somnians,2236
Mimosa strigillosa,2251
Mimosa tenuiflora,2366
Mimosa tequilana,2496
Mimosa tricephala,2235
Mimosa ulbrichiana,2235
Mimosa uliginosa,2401
Mimosa ursina,2772
Mimosa velloziana,2239
Mimosa verrucosa,3495
Mimosa xanthocentra,2234
Mimosa zimapanensis,2235
Mimozyganthus carinatus,517
Mirbelia dilatata,226
Mirbelia floribunda,789
Mirbelia ovata,1365
Mirbelia oxylobioides,3
Mirbelia pungens,502
Mirbelia ramulosa,40
Mirbelia spinosa,3121
Moldenhawera floribunda,803
Monopteryx inpae,9
Mora excelsa,47897
Mora gonggrijpii,46585
Mora paraensis,46722
Moullava spicata,1138
Mucuna birdwoodiana,1291
Mucuna bracteata,1661
Mucuna coriacea,2186
Mucuna diabolica,1356
Mucuna gigantea,3243
Mucuna hainanensis,1705
Mucuna monosperma,1697
Mucuna nigricans,3471
Mucuna novo-guineensis,64331
Mucuna rostrata,2362
Mucuna sempervirens,2197
Mucuna urens,1575
Muelleranthus trifoliolatus,1
Mundulea sericea,860
Myrocarpus fastigiatus,32
Myrocarpus leprosus,39
Myroxylon peruiferum,73
Nemcia leakeana,2
Neorautanenia amboensis,39
Neorautanenia ficifolia,174
Neorautanenia mitis,1104
Neorudolphia volubilis,668
Neptunia gracilis,6826
Neptunia lutea,2682
Neptunia monosperma,504
Neptunia oleracea,8026
Neptunia plena,1614
Neptunia pubescens,2641
Newtonia buchananii,159
Nissolia fruticosa,1191
Nissolia schottii,78
Notospartium glabrescens,189
Ohwia caudata,1245
Olneya tesota,21
Onobrychis arenaria,1727
Onobrychis biebersteinii,528
Onobrychis chorassanica,451
Onobrychis conferta,622
Onobrychis cornuta,890
Onobrychis cyri,591
Onobrychis dealbata,686
Onobrychis grandis,7525
Onobrychis humilis,1382
Onobrychis hypargyrea,456
Onobrychis kabylica,451
Onobrychis megalobotrys,455
Onobrychis micrantha,1147
Onobrychis pallasii,718
Onobrychis petraea,1275
Onobrychis transcaucasica,469
Onobrychis viciifolia,469
Ononis alba,45765
Ononis alopecuroides,453
Ononis antennata,262
Ononis cristata,1124
Ononis euphrasiifolia,175
Ononis fruticosa,1350
Ononis mitissima,175
Ononis natrix,695
Ononis pusilla,1010
Ononis reclinata,239
Ononis rotundifolia,1151
Ononis serrata,2637
Ononis spinosa,3247
Ononis subspicata,212
Ononis vaginalis,5399
Ononis variegata,1600
Ononis viscosa,1039
Ophrestia oblongifolia,298
Ophrestia radicosa,23
Ophrestia unifoliolata,26
Ormocarpum cochinchinense,92
Ormocarpum kirkii,218
Ormocarpum sennoides,46
Ormocarpum trichocarpum,50
Ormosia apiculata,721
Ormosia arborea,1761
Ormosia coarctata,532
Ormosia coccinea,1090
Ormosia costulata,329
Ormosia coutinhoi,275
Ormosia discolor,1081
Ormosia emarginata,864
Ormosia excelsa,1583
Ormosia fastigiata,432
Ormosia flava,1511
Ormosia glauca,2828
Ormosia grossa,1267
Ormosia henryi,727
Ormosia holerythra,279
Ormosia hosiei,274
Ormosia krugii,285
Ormosia macrocalyx,367
Ormosia melanocarpa,835
Ormosia monosperma,691
Ormosia nitida,1186
Ormosia nobilis,2507
Ormosia pachycarpa,358
Ormosia paraensis,411
Ormosia pinnata,2583
Ormosia semicastrata,274
Ormosia smithii,973
Ormosia sumatrana,552
Ormosia xylocarpa,340
Ornithopus compressus,293
Ornithopus micranthus,200
Ornithopus perpusillus,101
Ornithopus pinnatus,127
Ornithopus sativus,7642
Orophaca caespitosa,242
Otholobium bracteolatum,34
Otholobium candicans,213
Otholobium decumbens,869
Otholobium foliosum,97
Otholobium fruticans,329
Otholobium hirtum,362
Otholobium rotundifolium,127
Otholobium sericeum,77
Otholobium striatum,11515
Otholobium wilmsii,34
Otoptera burchellii,86
Ottleya strigosa,314
Ottleya wrightii,361
Oxylobium ellipticum,84
Oxylobium robustum,272
Oxylobium scandens,691
Oxyrhynchus volubilis,1232
Oxytropis anertii,399
Oxytropis arctica,1186
Oxytropis campanulata,634
Oxytropis campestris,5224
Oxytropis carpatica,472
Oxytropis deflexa,476
Oxytropis glabra,2856
Oxytropis halleri,736
Oxytropis kansuensis,472
Oxytropis kubanensis,400
Oxytropis lambertii,428
Oxytropis lapponica,575
Oxytropis leucantha,572
Oxytropis maydelliana,401
Oxytropis melanocalyx,400
Oxytropis mollis,1452
Oxytropis neglecta,950
Oxytropis oreophila,491
Oxytropis pilosa,1593
Oxytropis riparia,1152
Oxytropis scammaniana,399
Oxytropis sericea,1204
