Phy,Family,References,Geography,Type of domatia,Confidence level,Domatia_Presence
Callerya_nieuwenhuisii,Fabaceae,Maschwitz et al. (1989); Agosti et al. (1999),"SE Asia, Sabah",Stem domatia - (liana stem),Moderate,1
Pithecellobium_saman,Fabaceae,Ward (1991),Neotropics,Stem domatia - hollow twigs (hollowed by ants?) inhabited by Pseudomyrmex perboscii,"Interaction apparently consistent, but likely very early stage",1
Saraca_thaipingensis,Fabaceae,Moog et al. (1997); Agosti et al. (1999),"SE Asia, Malaysia","Stem domatia - hollow stem, liana",High,1
Andira_sapindoides,Fabaceae - Faboideae,C.R. Huxley pers. comm.,Neotropics,Stem domatia - hollow twigs - details unknow ,Moderate,1
Andira_vermifuga,Fabaceae - Faboideae,Pennington (2003),Neotropics,Stem domatia - hollow twigs,Moderate,1
Ormosia_macrophylla,Fabaceae - Faboideae,Rudd (1965); Benson (1985); Jolivet (1996),Neotropics,Stem domatia - hollow stems - details unknown,Moderate,1
Spatholobus_bracteolatus,Fabaceae - Faboideae,Agosti et al. (1999); Moog et al (2003),"SE Asia, Malaysia",Stem domatia - strongly swollen stem with soft pith inhabited by Cladomyrma petalae,High,1
Spatholobus_oblongifolius,Fabaceae - Faboideae,Agosti et al. (1999),"SE Asia, Sarawak",Stem domatia - strongly swollen stem internodes,High,1
Platymiscium_darienense,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_dimorphandrum,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_filipes,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_floribundum,Fabaceae - Faboideae - Dalbergieae,Bequaert (1922); Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_gracile,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_pinnatum,Fabaceae - Faboideae - Dalbergieae,"Klitgaard (2005); Chomicki et al. (2015): P. ulei and P. pinnatum are nested in distinct clades, rejecting that they are the same species as suggested by Klitgaard (2005)",Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_speciosum,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_stipulare,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_trinitatis,Fabaceae - Faboideae - Dalbergieae,Klitgaard (2005),Neotropics,Stem domatia - hollow twigs,High,1
Platymiscium_ulei,Fabaceae - Faboideae - Dalbergieae,"Klitgaard (2005); Chomicki et al. (2015): P. ulei and P. pinnatum are nested in distinct clades, rejecting that they are the same species as suggested by Klitgaard (2005)",Neotropics,Stem domatia - hollow twigs,High,1
Calpocalyx_cauliflorus,Fabaceae - Mimosoideae,McKey and Davidson (1993),"Tropical Africa, Central forest block","Stem domatia - pithy stems, hollowed by ants - transitional state",Moderate,1
Humboldtia_brunonis,Fabaceae: Caesalpinioideae,Dev et al. (2010),"India, Western Ghats",Stem domatia - swollen hollow twigs,High,1
Humboldtia_decurrens,Fabaceae: Caesalpinioideae,Dev et al. (2010),India,Stem domatia - swollen hollow twigs,High,1
Humboldtia_laurifolia,Fabaceae: Caesalpinioideae,"Bower (1887); Schimper (1903); Escherich (1906, 1911); Ridley (1910); Wheeler (1910); Jolivet (1996); Kronbein et al. (1999); Dev et al. (2010);",Sri Lanka,Stem domatia - swollen hollow twigs,High,1
Leonardoxa_africana,Fabaceae-Caesalpinioideae,Chenuil and McKey (1996); McKey (2000),Africa,Stem domatia - swollen hollow twigs,High,1
Macrolobium_acaciifolium,Fabaceae-cesalpinioideae,"Ward (1991, 1999); Barnett et al. (2015)",Ecuador,Stem domatia - hollow stem inhabited by Pseudomyrmex viduus,Moderate,1
Tachigali_argyrophylla,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_candelabrum,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_catingae,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_cavipes,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_cenepensis,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_chrysophylla,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_dwyeri,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_formicarum,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_fusca,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_glauca,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_grandistipulata,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_longiflora,Fabaceae-cesalpinioideae,"Van der Werf (2008): He did not personally observed domatia but says: ""Ducke mentioned the presence of  small ants in the leaf rachis.""",Neotropics,swollen hollow rachis (and inflorescence stem),Moderate,1
Tachigali_loretensis,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_macbridei,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_myrmecophila,Fabaceae-cesalpinioideae,Bequaert (1922);Passmore et al. (2012),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_odoratissima,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_paniculata,Fabaceae-cesalpinioideae,Bailey (1923),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_physophora,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_plumbea,Fabaceae-cesalpinioideae,"Van der Werf (2008); Passmore et al. (2012); However the presence of domatium is possibly a variable traits as a specimen investigated in Chomicki et al. (2015, PRSB) lacked domatia - but this might also be mis-identification",Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_poeppigiana,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_ptychophysca,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_rigida,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_schultesiana,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_vaupesiana,Fabaceae-cesalpinioideae,Van der Werf (2008),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Tachigali_venusta,Fabaceae-cesalpinioideae,Passmore et al. (2012),Neotropics,swollen hollow rachis (and inflorescence stem),High,1
Alexa_cowanii,Fabaceae-Faboideae,McKey (1989),Neotropics,Stem domatia - hollow stem - details unknown,Moderate,1
Pterocarpus_amazonum,Fabaceae-Faboideae,Rojo (1972); Spruce (1908),Neotropics,Stem domatia - hollow stem - details unknown,Moderate,1
Acacia_bullockii,Fabaceae-Mimosoideae,Hocking (1970),Africa,Swollen stipular thorns,High,1
Acacia_burttii,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,1
Acacia_bussei,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996),East Africa,Swollen stipular thorns,High,1
Acacia_cedilloi,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,1
Acacia_chiapensis,Fabaceae-Mimosoideae,Heil et al. (2009),Mexico,Swollen stipular thorns,High,1
Acacia_collinsii,Fabaceae-Mimosoideae,Heil et al. (2009),Mexico,Swollen stipular thorns,High,1
Acacia_cornigera,Fabaceae-Mimosoideae,Janzen (1966),Neotropics,Swollen stipular thorns,High,1
Acacia_drepanolobium,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,1
Acacia_elatior,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,1
Acacia_erythrophloea,Fabaceae-Mimosoideae,Hocking (1970),"East Africa, Tanzania",Swollen stipular thorns,High,1
Acacia_gentlei,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,1
Acacia_globulifera,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,1
Acacia_hindsii,Fabaceae-Mimosoideae,Heil et al. (2009) ; Heil et al. (2010),Neotropics,Swollen stipular thorns,High,1
Acacia_hirtipes,Fabaceae-Mimosoideae,"Gomez-Acevedo et al. (2010); confirmed on herbarium specimen, see Eyde E.T & Lux E. 3299 (US)",Neotropics,Swollen stipular thorns,High,1
Acacia_horrida,Fabaceae-Mimosoideae,Hocking (1970); Ward Blog (http://wardlab.wordpress.com/research/pseudomyrmecinae/ant-plants/),India,Swollen stipular thorns,Moderate,1
Acacia_leucophloea,Fabaceae-Mimosoideae,Mani (1964); Jolivet (1996),India,Swollen stipular thorns,High,1
Acacia_luederitzii,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,1
Acacia_malacocephala,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996); Hocking (1970),Africa,Swollen stipular thorns,High,1
Acacia_mayana,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,1
Acacia_mbuluensis,Fabaceae-Mimosoideae,Hocking (1970),East Africa,Swollen stipular thorns,High,1
Acacia_melanoceras,Fabaceae-Mimosoideae,Seiber and Erbinger (1995),Neotropics,Swollen stipular thorns,High,1
Acacia_myrmecophila,Fabaceae-Mimosoideae,Paulian (1949),"Madagascar, South of the Island",Swollen stipular thorns,High,1
Acacia_pseudofistula,Fabaceae-Mimosoideae,Brown (1960); Hocking (1970),Tropical Africa,Swollen stipular thorns,High,1
Acacia_seyal,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Africa,Swollen stipular thorns,High,1
Acacia_sphaerocephala,Fabaceae-Mimosoideae,Gomez-Acevedo et al. (2010),Neotropics,Swollen stipular thorns,High,1
Acacia_zanzibarica,Fabaceae-Mimosoideae,Wheeler (1942); Jolivet (1996),Africa,Swollen stipular thorns,High,1
