"Phy","species","RangeY","domY","efnY","n","sum.AM","sum.EM","AM","EM","match"
"Glycyrrhiza uralensis","Glycyrrhiza uralensis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Gompholobium grandiflorum","Gompholobium grandiflorum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Gompholobium huegelii","Gompholobium huegelii",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Gompholobium huegelii","Gompholobium latifolium",TRUE,FALSE,FALSE,1,0,1,"N","Y",FALSE
"Gompholobium latifolium","Gompholobium latifolium",TRUE,FALSE,FALSE,2,0,2,"N","Y",TRUE
"Gompholobium marginatum","Gompholobium marginatum",TRUE,FALSE,FALSE,3,3,2,"Y","Y",TRUE
"Gompholobium subulatum","Gompholobium subulatum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Gompholobium tomentosum","Gompholobium tomentosum",TRUE,FALSE,FALSE,2,2,1,"Y","Y",TRUE
"Gompholobium venustum","Gompholobium venustum",TRUE,FALSE,FALSE,4,3,2,"Y","Y",TRUE
"Gossweilerodendron balsamiferum","Gossweilerodendron balsamiferum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Guibourtia coleosperma","Guibourtia coleosperma",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Gymnocladus dioica","Gymnocladus dioica",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Halimodendron halodendron","Halimodendron halodendron",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Hardenbergia comptoniana","Hardenbergia comptoniana",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Hardenbergia violacea","Hardenbergia violacea",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Havardia albicans","Havardia albicans",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hedysarum alpinum","Hedysarum alpinum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hedysarum boreale","Hedysarum boreale",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hedysarum caucasicum","Hedysarum caucasicum",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Hedysarum coronarium","Hedysarum coronarium",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hedysarum spinosissimum","Hedysarum spinosissimum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hippocrepis comosa","Hippocrepis comosa",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Hippocrepis unisiliquosa","Hippocrepis unisiliquosa",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Hovea linearis","Hovea linearis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hovea trisperma","Hovea elliptica",TRUE,FALSE,FALSE,3,3,0,"Y","N",FALSE
"Hovea trisperma","Hovea trisperma",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Hylodesmum repandum","Desmodium trichocaulon",TRUE,FALSE,FALSE,3,3,0,"Y","N",FALSE
"Hylodesmum repandum","Hylodesmum repandum",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Hymenaea courbaril","Hymenaea courbaril",TRUE,FALSE,TRUE,12,10,0,"Y","N",TRUE
"Hymenaea stigonocarpa","Hymenaea stigonocarpa",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Hymenolobium flavum","Hymenolobium flavum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Hymenostegia afzelii","Hymenostegia afzelii",TRUE,FALSE,FALSE,3,3,1,"Y","Y",TRUE
"Indigofera amblyantha","Indigofera amblyantha",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Indigofera argentea","Indigofera argentea",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Indigofera australis","Indigofera australis",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Indigofera brevidens","Indigofera brevidens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Indigofera cordifolia","Indigofera cordifolia",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Indigofera glandulosa","Indigofera glandulosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Indigofera hirsuta","Indigofera angustifolia",TRUE,FALSE,FALSE,4,4,0,"Y","N",FALSE
"Indigofera hirsuta","Indigofera hirsuta",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Indigofera kirilowii","Indigofera kirilowii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Indigofera linifolia","Indigofera linifolia",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Indigofera pseudotinctoria","Indigofera pseudotinctoria",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Indigofera tinctoria","Indigofera tinctoria",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Indigofera vicioides","Indigofera vicioides",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Inga acreana","Inga acreana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Inga edulis","Inga edulis",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Inga edulis","Inga vera",TRUE,FALSE,TRUE,2,2,0,"Y","N",FALSE
"Inga laurina","Inga laurina",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Inga leiocalycina","Inga leiocalycina",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Inga nobilis","Inga nobilis",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Inga pezizifera","Inga pezizifera",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Inga sessilis","Inga sessilis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Inga thibaudiana","Inga thibaudiana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Inga vera","Inga vera",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Intsia palembanica","Intsia palembanica",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Isoberlinia angolensis","Isoberlinia angolensis",TRUE,FALSE,FALSE,4,0,4,"N","Y",TRUE
"Jacksonia dilatata","Jacksonia dilatata",TRUE,FALSE,FALSE,3,3,3,"Y","Y",TRUE
"Jacksonia floribunda","Jacksonia floribunda",TRUE,FALSE,FALSE,4,4,2,"Y","Y",TRUE
"Jacksonia scoparia","Jacksonia scoparia",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Julbernardia globiflora","Julbernardia globiflora",TRUE,FALSE,FALSE,4,0,4,"N","Y",TRUE
"Julbernardia paniculata","Julbernardia paniculata",TRUE,FALSE,FALSE,5,0,5,"N","Y",TRUE
"Julbernardia paniculata","Thylacanthus ferrugineus",TRUE,FALSE,FALSE,5,0,5,"N","Y",FALSE
"Kennedia coccinea","Kennedia coccinea",TRUE,FALSE,FALSE,5,1,0,"Y","N",TRUE
"Kennedia prostrata","Kennedia prostrata",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Kennedia rubicunda","Kennedia rubicunda",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Koompassia malaccensis","Koompassia malaccensis",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Kummerowia striata","Kummerowia striata",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Lablab purpureus","Lablab purpureus",TRUE,FALSE,FALSE,7,7,0,"Y","N",TRUE
"Laburnum anagyroides","Laburnum anagyroides",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lathyrus japonicus","Lathyrus japonicus",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Lathyrus magellanicus","Lathyrus magellanicus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lathyrus niger","Lathyrus niger",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Lathyrus ochroleucus","Lathyrus ochroleucus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lathyrus odoratus","Lathyrus odoratus",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Lathyrus palustris","Lathyrus palustris",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Lathyrus pisiformis","Lathyrus pisiformis",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Lathyrus pratensis","Lathyrus pratensis",TRUE,FALSE,FALSE,25,23,0,"Y","N",TRUE
"Lathyrus sativus","Lathyrus sativus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lathyrus tuberosus","Lathyrus tuberosus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lathyrus vernus","Lathyrus vernus",TRUE,FALSE,FALSE,10,10,0,"Y","N",TRUE
"Lens culinaris","Lens culinaris",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Lespedeza bicolor","Lespedeza bicolor",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lespedeza buergeri","Lespedeza buergeri",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lespedeza capitata","Lespedeza capitata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lespedeza cyrtobotrya","Lespedeza cyrtobotrya",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lespedeza cyrtobotrya","Lespedeza virgata",TRUE,FALSE,FALSE,2,2,0,"Y","N",FALSE
"Lespedeza juncea","Lespedeza juncea",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Lespedeza thunbergii","Lespedeza thunbergii",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
"Leucaena leucocephala","Leucaena leucocephala",TRUE,FALSE,TRUE,14,14,0,"Y","N",TRUE
"Lonchocarpus campestris","Lonchocarpus campestris",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Lonchocarpus muehlbergianus","Lonchocarpus muehlbergianus",TRUE,FALSE,FALSE,4,3,0,"Y","N",TRUE
"Lonchocarpus nitidus","Lonchocarpus nitidus",TRUE,FALSE,FALSE,2,1,2,"Y","Y",TRUE
"Lotononis involucrata","Lotononis involucrata",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Lotus corniculatus","Lotus corniculatus",TRUE,FALSE,FALSE,24,22,0,"Y","N",TRUE
"Lotus glaber","Lotus glaber",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lotus halophilus","Lotus halophilus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lotus ornithopodioides","Lotus ornithopodioides",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Lotus pedunculatus","Lotus pedunculatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lotus tenuis","Lotus glaber",TRUE,FALSE,FALSE,2,2,0,"Y","N",FALSE
"Lotus tenuis","Lotus tenuis",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Lupinus arcticus","Lupinus arcticus",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Lupinus argenteus","Lupinus argenteus",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Lupinus luteus","Lupinus luteus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lupinus mutabilis","Lupinus mutabilis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Lupinus polyphyllus","Lupinus polyphyllus",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Lysiloma latisiliquum","Lysiloma latisiliquum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Maackia amurensis","Maackia amurensis",TRUE,FALSE,FALSE,5,3,0,"Y","N",TRUE
"Machaerium nyctitans","Machaerium nyctitans",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Machaerium stipitatum","Machaerium stipitatum",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Macrolobium acaciifolium","Macrolobium acaciifolium",TRUE,TRUE,FALSE,4,3,1,"Y","Y",TRUE
"Macrolobium bifolium","Macrolobium bifolium",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Macrolobium limbatum","Macrolobium limbatum",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Macrolobium suaveolens","Macrolobium suaveolens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Macroptilium atropurpureum","Macroptilium atropurpureum",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Macroptilium lathyroides","Macroptilium lathyroides",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Macrotyloma uniflorum","Macrotyloma uniflorum",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Medicago falcata","Medicago falcata",TRUE,FALSE,FALSE,6,6,0,"Y","N",TRUE
"Medicago littoralis","Medicago littoralis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Medicago lupulina","Medicago lupulina",TRUE,FALSE,FALSE,8,8,0,"Y","N",TRUE
"Medicago marina","Medicago marina",TRUE,FALSE,FALSE,3,2,0,"Y","N",TRUE
"Medicago medicaginoides","Medicago medicaginoides",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Medicago minima","Medicago meyeri",TRUE,FALSE,FALSE,6,5,0,"Y","N",FALSE
"Medicago minima","Medicago minima",TRUE,FALSE,FALSE,6,5,0,"Y","N",TRUE
"Medicago polymorpha","Medicago polymorpha",TRUE,FALSE,FALSE,6,6,0,"Y","N",TRUE
"Medicago sativa","Medicago sativa",TRUE,FALSE,FALSE,19,19,0,"Y","N",TRUE
"Melilotus albus","Melilotus albus",TRUE,FALSE,FALSE,8,8,0,"Y","N",TRUE
"Melilotus dentatus","Melilotus dentatus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Melilotus indicus","Melilotus indicus",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Melilotus officinalis","Melilotus officinalis",TRUE,FALSE,FALSE,8,8,0,"Y","N",TRUE
"Melilotus suaveolens","Melilotus suaveolens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Microberlinia bisulcata","Microberlinia bisulcata",TRUE,FALSE,FALSE,7,0,7,"N","Y",TRUE
"Millettia dielsiana","Millettia dielsiana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Millettia laurentii","Millettia laurentii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa bimucronata","Mimosa bimucronata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa borealis","Mimosa borealis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa lacerata","Mimosa lacerata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa luisana","Mimosa luisana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa polyantha","Mimosa polyantha",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa pudica","Mimosa pudica",TRUE,FALSE,FALSE,18,18,0,"Y","N",TRUE
"Mimosa quadrivalvis","Mimosa quadrivalvis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mimosa scabrella","Mimosa scabrella",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Mirbelia dilatata","Mirbelia dilatata",TRUE,FALSE,FALSE,5,4,4,"Y","Y",TRUE
"Mora excelsa","Mora excelsa",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Mora paraensis","Mora paraensis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mucuna sempervirens","Mucuna sempervirens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Mundulea sericea","Dalbergia sericea",TRUE,FALSE,FALSE,1,1,0,"Y","N",FALSE
"Mundulea sericea","Mundulea sericea",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Myroxylon peruiferum","Myroxylon peruiferum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Neptunia oleracea","Neptunia oleracea",TRUE,FALSE,FALSE,2,0,0,"N","N",TRUE
"Ohwia caudata","Ohwia caudata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Olneya tesota","Olneya tesota",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Onobrychis arenaria","Onobrychis arenaria",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Onobrychis biebersteinii","Onobrychis biebersteinii",TRUE,FALSE,FALSE,2,1,0,"Y","N",TRUE
"Onobrychis grandis","Onobrychis grandis",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Onobrychis viciifolia","Onobrychis viciifolia",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Ononis reclinata","Ononis reclinata",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Ononis serrata","Ononis serrata",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Ononis spinosa","Ononis spinosa",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Ormocarpum kirkii","Ormocarpum kirkii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Ormosia arborea","Ormosia arborea",TRUE,FALSE,FALSE,5,2,0,"Y","N",TRUE
"Ormosia coccinea","Ormosia coccinea",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Ormosia krugii","Ormosia krugii",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Ormosia semicastrata","Ormosia semicastrata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Ornithopus sativus","Ornithopus sativus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Orophaca caespitosa","Orophaca caespitosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Otholobium fruticans","Otholobium fruticans",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Otholobium hirtum","Otholobium hirtum",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Oxylobium ellipticum","Oxylobium ellipticum",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Oxytropis campestris","Oxytropis campestris",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Oxytropis kubanensis","Oxytropis kubanensis",TRUE,FALSE,FALSE,3,3,0,"Y","N",TRUE
"Oxytropis scammaniana","Oxytropis scammaniana",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Oxytropis sericea","Oxytropis sericea",TRUE,FALSE,FALSE,1,0,0,"N","N",TRUE
"Oxytropis splendens","Oxytropis splendens",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Oxytropis viscida","Oxytropis viscida",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Pachyrhizus erosus","Pachyrhizus erosus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Pachyrhizus tuberosus","Pachyrhizus tuberosus",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Parapiptadenia rigida","Parapiptadenia rigida",TRUE,FALSE,FALSE,5,5,0,"Y","N",TRUE
"Parkia nitida","Parkia nitida",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Parkia pendula","Parkia pendula",TRUE,FALSE,TRUE,2,2,0,"Y","N",TRUE
"Parkia speciosa","Parkia speciosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Parkia velutina","Parkia velutina",TRUE,FALSE,FALSE,1,0,1,"N","Y",TRUE
"Parkinsonia aculeata","Parkinsonia aculeata",TRUE,FALSE,FALSE,4,4,0,"Y","N",TRUE
"Peltogyne paniculata","Peltogyne paniculata",TRUE,FALSE,FALSE,2,2,0,"Y","N",TRUE
"Peltogyne venosa","Peltogyne venosa",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Peltophorum dubium","Peltophorum dubium",TRUE,FALSE,FALSE,7,2,0,"Y","N",TRUE
"Peltophorum pterocarpum","Peltophorum pterocarpum",TRUE,FALSE,FALSE,5,3,0,"Y","N",TRUE
"Pentaclethra macroloba","Pentaclethra macroloba",TRUE,FALSE,TRUE,4,4,0,"Y","N",TRUE
"Pericopsis angolensis","Pericopsis angolensis",TRUE,FALSE,FALSE,4,2,2,"Y","Y",TRUE
"Pericopsis elata","Pericopsis elata",TRUE,FALSE,FALSE,1,1,0,"Y","N",TRUE
"Phaseolus lunatus","Phaseolus lunatus",TRUE,FALSE,TRUE,1,1,0,"Y","N",TRUE
"Phaseolus vulgaris","Phaseolus vulgaris",TRUE,FALSE,TRUE,6,6,0,"Y","N",TRUE
"Piliostigma malabaricum","Bauhinia malabarica",TRUE,FALSE,FALSE,1,1,1,"Y","Y",FALSE
"Piliostigma malabaricum","Piliostigma malabaricum",TRUE,FALSE,FALSE,1,1,1,"Y","Y",TRUE
